org_sujo;org_detalhe_sujo;org_detalhe_limpo;org_limpo;id_org_unica;id_org_dupla
Painel Brasileiro de Mudanças Climáticas;Comitê Científico;NA;PBMC - Painel Brasileiro de Mudanças Climáticas;513;3153
Petrobrás;NA;NA;Petrobrás;517;3021
Petrobrás;Gerência de biodiversidade e recursos hídricos;NA;Petrobrás;517;3140
Petrobrás;Biodiversidade;NA;Petrobrás;517;3143
Petrobrás;Arquiteto Naval;NA;Petrobrás;517;3227
Presidência da República;NA;NA;Presidência da República;523;2853
Representação Permanente do Brasil na IMO;NA;NA;Representação brasileira para a International Maritime Organization;542;3223
Representação Permanente do Brasil na IMO;Marinha Mercante;NA;Representação brasileira para a International Maritime Organization;542;3228
Representação Permanente do Brasil na IMO;Conselheiro para Assuntos Marítimos;NA;Representação brasileira para a International Maritime Organization;542;3230
SECOM;NA;NA;Secretaria de Comunicação Social da Presidência;554;2032
Secretaria de Comunicação da Presidência da República;NA;NA;Secretaria de Comunicação Social da Presidência;554;3054
NA;NA;NA;Sem informação;565;24
Senado Federal;NA;NA;Senado Federal;568;2798
Senado Federal;Estado do Acre;NA;Senado Federal;568;3215
Serviço Florestal Brasileiro;NA;NA;SFB - Serviço Florestal Brasileiro;572;3220
Superior Tribunal de Justiça;NA;NA;STJ - Superior Tribunal de Justiça;585;3011
Tribunal de Contas da União;NA;NA;TCU - Tribunal de Contas da União;594;3012
Terra de Direitos;NA;NA;Terra de Direitos;596;98
Tribunal Regional Federal;3ª Seção do TRF 1;NA;TRF - Tribunal Regional Federal;601;3065
Tribunal Regional Federal;TRF 1;NA;TRF - Tribunal Regional Federal;601;3087
Universidade Católica de Brasília;Curso de direito;NA;Universidade Católica de Brasília;614;3097
Universidade de São Paulo;Departamento de Gestão Administração;NA;Universidade de São Paulo;617;3136
Universidade de São Paulo;NA;NA;Universidade de São Paulo;617;2847
Unicamp;NA;NA;Universidade Estadual de Campinas;621;1621
Universidade de Campinas;NA;NA;Universidade Estadual de Campinas;621;2982
Universidade Estadual do Rio de Janeiro;Engenharia Ambiental e Sanitária;NA;Universidade Estadual do Rio de Janeiro;625;3096
Universidade Federal do Ceará;NA;NA;Universidade Federal do Ceará;640;3098
Universidade Federal do Pará;Núcleo de Altos Estudos Amazônicos (NAEA);NA;Universidade Federal do Pará;644;3095
Universidade Federal do Rio de Janeiro;NA;NA;Universidade Federal do Rio de Janeiro;646;3019
Universidade Federal do Rio de Janeiro;Bio Bureau Biotecnologia (empresa);NA;Universidade Federal do Rio de Janeiro;646;3157
Universidade Federal Rural do Rio de Janeiro;NA;NA;Universidade Federal Rural do Rio de Janeiro;651;3020
Via Campesina Brasil;NA;NA;Via Campesina;657;3043
Via Campesina;NA;NA;Via Campesina;657;3118
Votorantim Industrial;NA;NA;Votorantim;664;2142
Votorantim Industrial;Gerência Global de Meio Ambiente;NA;Votorantim;664;3154
Reservas Votorantim;NA;Reservas Votorantim;Votorantim;664;3142
WWF;NA;NA;WWF;671;1745
WWF - Brazil;NA;NA;WWF;671;2152
WWF - Brazil;Superintendência de Conservação;NA;WWF;671;3034
Ministério da Marinha;NA;NA;Ministério da Marinha;701;2741
ABBI - Associação Brasileira de Biotecnologia Industrial;NA;NA;ABBI - Associação Brasileira de Biotecnologia Industrial;709;3105
Associação Brasileira de Sementes e Mudas (ABRASEM);NA;NA;ABRASEM - Associação Brasileira de Sementes e Mudas;710;3060
AgroBio;NA;NA;AGROBIO - Associação das Empresas de Biotecnologia na Agricultura e Agroindústria;711;3152
Amyris Brasil S.A.;NA;NA;Amyris Brasil S.A.;712;3025
Associação Nacional da Agricultura Camponesa;NA;NA;Associação Nacional da Agricultura Camponesa;713;3148
Associação Nacional da Agricultura Camponesa (ANAC);NA;NA;Associação Nacional da Agricultura Camponesa;713;3042
Articulação Plantas Medicinais do Cerrado (PACARI);NA;NA;Articulação Pacari - Plantas Medicinais do Cerrado;714;3046
Kanindé;NA;NA;Associação de Defesa Etnoambiental Kanindé;715;3039
Beraca Sabará Químicos e Ingredientes S.A.;NA;NA;Beraca Sabará Químicos e Ingredientes S.A.;716;3038
Beraca Sabará Químicos e Ingredientes S.A.;Coordenação de sustentabilidade;NA;Beraca Sabará Químicos e Ingredientes S.A.;716;3141
Sabará Químicos e Ingredientes SA;Sustentabilidade;NA;Beraca Sabará Químicos e Ingredientes S.A.;716;3147
CDN Comunicação Corporativa;NA;NA;CDN Comunicação Corporativa;717;3031
Cooperativa Ecológica das Mulheres Extrativistas do Marajó;NA;NA;CEMEM - Cooperativa Ecológica das Mulheres Extrativistas do Marajó;718;3041
Conselho de Informações sobre Biotecnologia (CIB);NA;NA;CIB - Conselho de Informações sobre Biotecnologia;719;3026
Conselho Nacional dos Povos e Comunidades Tradicionais;NA;NA;CNPCT - Conselho Nacional dos Povos e Comunidades Tradicionais;720;3149
Conselho Nacional da Mulher Indígena (CONAMI);NA;NA;CONAMI - Conselho Nacional da Mulher Indígena;721;3047
CTNBio;NA;NA;CTNBio - Comissão Técnica Nacional de Biossegurança;722;2979
Divers for Sharks;NA;NA;Divers for Sharks;723;3120
Fibria;NA;NA;Fibria;724;3027
Fleishman Hillard Public Relations;NA;NA;FleishmanHillard Public Relations;725;3030
Fundação Roberto Marinho;NA;NA;Fundação Roberto Marinho;726;3033
GIZ Brazil;NA;NA;GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit;727;3114
Greenpeace do Brasil;NA;NA;Greenpeace;728;2988
Grupo Centroflora;NA;NA;Grupo Centroflora;729;3032
GSS Sustentabilidade e Bioinovação;NA;NA;GSS Sustentabilidade e Bioinovação;730;3107
GSS Sustentabilidade e Bioinovação;Biodiversidade;NA;GSS Sustentabilidade e Bioinovação;730;3108
Instituto Augusto Carneiro;Divers for Sharks;NA;Instituto Augusto Carneiro;731;3119
Fundação Jardim Botânico do Rio de Janeiro;NA;NA;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;732;2978
Jardim Botânico do Rio de Janeiro;NA;NA;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;732;3050
Instituto Life;NA;NA;Instituto LIFE;733;3028
Instituto Ribeirão Preto 2030;NA;NA;Instituto Ribeirão Preto 2030;734;3139
ITTO;NA;NA;ITTO - International Tropical Timber Organization;735;3217
L'Oréal;NA;NA;L'Oréal;736;3109
Movimento Empresarial para a Biodiversidade-Brasil (MEBB);NA;NA;MEBB - Movimento Empresarial pela Biodiversidade - Brasil;737;3062
Cidade de São José do Rio Preto;Secretaria de Meio Ambiente;NA;Município de São José do Rio Preto;738;3137
Comunidades de Fundo de Pasto;NA;NA;Comunidades de Fundo de Pasto;739;3044
Extrativistas da Amazônia;NA;NA;Comunidades Extrativistas da Amazônia;740;3045
Fórum de Povos e Comunidades Tradicionais;NA;NA;Fórum de Povos e Comunidades Tradicionais;741;3040
Marinha do Brasil;Instituto de Estudos do Mar Almirante Paulo Moreira;NA;Instituto de Estudos do Mar Almirante Paulo Moreira;742;3200
Ponto focal brasileiro para CBD;NA;NA;Ponto focal brasileiro para CDB;743;3158
Povos indígenas e comunidades locais;NA;NA;Povos indígenas e comunidades locais;744;3063
Novozymes Latin America;Gerência de Comunicações e Relações Públicas;NA;Novozymes Latin America;745;3111
Novozymes Latin America;NA;NA;Novozymes Latin America;745;3112
Science Politique;NA;NA;SciencesPo;746;3049
Universidade Federal de Ouro Preto;NA;NA;Universidade Federal de Ouro Preto;747;3018
VBIO - Plataforma brasileira de biodiversidade;NA;NA;VBIO - Plataforma Brasileira de Biodiversidade;748;3113
WCS - Wildlife Conservation Society;Brasil;NA;WCS - Wildlife Conservation Society;749;3121
