org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
Brazilian Association of Municipalities;Mayor of Moju;845;ABM - Associação Brasileira de Municípios;NA;12
Brazilian Association of Municipalities;Nova Prata;1242;ABM - Associação Brasileira de Municípios;NA;12
Brazilian Association of Non-Governmental Organizations;NA;862;ABONG - Associação Brasileira de Organizações Não-Governamentais;NA;13
Brazilian Association of Non-Governamental Organizations;NA;1209;ABONG - Associação Brasileira de Organizações Não-Governamentais;NA;13
Brazilian Association of Non-Governamental Organizations;Food security;1258;ABONG - Associação Brasileira de Organizações Não-Governamentais;NA;13
Lumber Union of the State of Parana and Brazilian Association of Wood Producers;NA;249;ABPMEX - Associação Brasileira de Produtores e Exportadores de Madeiras;NA;14
Brazilian Association of Major Industrial Energy Consumers;NA;1470;ABRACE - Associação Brasileira de Grandes Consumidores Industriais de Energia;NA;15
ABRAF;Carbon Project;2044;ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;NA;16
Associação Brasileira de Produtores de Florestas Plantadas (ABRAF);NA;3035;ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;NA;16
ABREA - Associação Brasileira dos Expostos ao Amianto;Technical Consultancy;210;ABREA - Associação Brasileira dos Expostos ao Amianto;NA;17
Brazilian Academy of Science;NA;669;Academia Brasileira de Ciências;NA;18
Academia Brasileira de Ciências;NA;2932;Academia Brasileira de Ciências;NA;18
Ação Educativa;NA;1165;Ação Educativa;NA;19
Associação dos Criadores de Mato Grosso (ACRIMAT);NA;1793;ACRIMAT - Associação dos Criadores de Mato Grosso;NA;20
Associação dos Criadores de Mato-Grosso;NA;1962;ACRIMAT - Associação dos Criadores de Mato Grosso;NA;20
Action Aid;NA;1254;ActionAid;NA;21
ActionAid Brasil;Food Rights and Campaigns, Policy and Campaign;2078;ActionAid;NA;21
ActionAid International;Global Food Programme;2079;ActionAid;NA;21
ActionAid International - Brazil;NA;2155;ActionAid;NA;21
Açucareira Vale do Rosário;NA;1549;Açucareira Vale do Rosário;NA;22
Brazilian Space Agency;NA;1416;AEB - Agência Espacial Brasileira;NA;23
Brazilian External Trade Association;International;910;AEB - Associação de Comércio Exterior do Brasil;NA;24
Brazilian External Trade Association;NA;912;AEB - Associação de Comércio Exterior do Brasil;NA;24
AES Tietê;NA;1603;AES Tietê;NA;25
AES Tietê;Environment and Carbon Market;1689;AES Tietê;NA;25
Afroreggae;NA;886;Afroreggae;NA;26
Federal Attorney General;NA;392;AGU - Advocacia Geral da União;NA;27
Federal Counsel-General;NA;703;AGU - Advocacia Geral da União;NA;27
Federal Counsel-General, AGU;NA;1249;AGU - Advocacia Geral da União;NA;27
International Association of Economic and Social Council and Similar Institutions;NA;1934;AICESIS - International Association of Economic and Social Councils and Similar Institutions;NA;28
AIMEX;NA;259;AIMEX - Associação das Indústrias Exportadoras de Madeiras do Estado do Pará;NA;29
Municipal Education System;NA;2021;Aluno do sistema municipal de educação;NA;30
Brazilian Women Association;NA;807;AMB - Articulação de Mulheres Brasileiras;NA;31
Sustainable Environment Management;NA;2033;Ambiente Gestão em Sustentabilidade Ltda;NA;32
Amigos da Terra (NGO);NA;1180;Amigos da Terra;NA;33
Friends of the Earth - Brazil;Energy Policy Research;1532;Amigos da Terra;NA;33
Amigos da Terra - Amazônia Brasileira;NA;2105;Amigos da Terra;NA;33
National Water Agency;NA;626;ANA - Agência Nacional de Águas;NA;34
National Water Agency;Planning and Budget;708;ANA - Agência Nacional de Águas;NA;34
National Water Agency;Articulation and Communication;2573;ANA - Agência Nacional de Águas;NA;34
National Water Agency;Water Resources;2574;ANA - Agência Nacional de Águas;NA;34
National Water Agency;System Information;2575;ANA - Agência Nacional de Águas;NA;34
National Water Agency;Hydrology;2591;ANA - Agência Nacional de Águas;NA;34
ANA - Agência Nacional de Águas;NA;2874;ANA - Agência Nacional de Águas;NA;34
National Civil Aviation Agency;International Relations;637;ANAC - Agência Nacional de Aviação Civil;NA;35
National Civil Aviation Agency;Brazilian Member of ICAO's Environmental Protection Committee;897;ANAC - Agência Nacional de Aviação Civil;NA;35
Environmental Minicipal Institutions Association;NA;984;ANAMMA - Associação Nacional de Órgãos Municipais de Meio Ambiente;NA;36
Environmental Municipal Institutions Association;NA;1046;ANAMMA - Associação Nacional de Órgãos Municipais de Meio Ambiente;NA;36
National Telecommunication Agency;NA;890;ANATEL - Agência Nacional de Telecomunicações;NA;37
National Telecommunications Agency;NA;975;ANATEL - Agência Nacional de Telecomunicações;NA;37
National Cinema Agency;NA;971;ANCINE - Agência Nacional do Cinema;NA;38
Andifes;NA;674;ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior;NA;39
National Energy Agency;NA;595;ANEEL - Agência Nacional de Energia Elétrica;NA;40
ANEEL;NA;1667;ANEEL - Agência Nacional de Energia Elétrica;NA;40
Anima Dialogue and Development;NA;2086;Anima Convivência Produtiva;NA;41
Petroleum National Association;NA;489;ANP - Agência Nacional do Petróleo;NA;42
ANPR - Appellate Federal Prosecutors;NA;1260;ANPR - Associação Nacional dos Procuradores da República;NA;43
National Health Insurance Agency;Management;456;ANS - Agência Nacional de Saúde Suplementar;NA;44
Nation Agency for Waterway Transportation;Human Resources;541;ANTAQ - Agência Nacional de Transportes Aquaviários;NA;45
National Agency for Waterway Transportation;NA;1017;ANTAQ - Agência Nacional de Transportes Aquaviários;NA;45
Brazilian Agency for Land Transportation;NA;780;ANTT - Agência Nacional de Transportes Terrestres;NA;46
Asociación Nacional de Universidades Tecnológicas (ANUT);NA;1833;ANUT - Asociación Nacional de Universidades Tecnológicas;NA;47
ANVISA;Toxicological Analysis;187;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
ANVISA;Gerência Geral de Toxicologia;199;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
ANVISA;Toxicology Department;204;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
ANVISA;Toxicology;216;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
National Health Surveillance Agency;NA;898;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
National Health Surveillance Agency;Communication;1009;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
National Health Surveillance Agency (ANVISA);Toxicology Department;1314;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
Brazilian Health Regulatory Agency;Coordination for International Cooperation, Office for International Affairs;1330;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
Brazilian Health Regulatory Agency (ANVISA);Coordination for International Cooperation/Office for International Affairs;1339;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
Brazilian Health Regulatory Agency - ANVISA;International Cooperation;1343;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
Anvisa;Assessoria Internacional;1355;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
ANVISA;Gerência Geral de Tecnologia em Serviços de Saúde;1361;ANVISA - Agência Nacional de Vigilância Sanitária;NA;48
Brazilian Trade and Investment Promotion Agency;NA;1064;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;NA;49
Brazilian Trade and Investment Promotion Agency;Sustainability;1073;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;NA;49
Brazilian Trade and Investment Promotion Agency;Corporate Management;2579;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;NA;49
Brazilian Trade and Investment Promotion Agency;International Business;2580;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;NA;49
Brazilian Trade and Investment Promotion Agency;Communication;2581;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;NA;49
Indigenous Peoples Association;NA;482;APIB - Articulação dos Povos Indígenas do Brasil;NA;50
Articulação dos Povos Indígenas do Brasil;NA;2320;APIB - Articulação dos Povos Indígenas do Brasil;NA;50
Association for the Protection of Coastal Ecosystems;NA;1752;APREC - Associação de Proteção a Ecossistemas Costeiros;NA;51
Associacao de Protecao a Ecossistemas Costeiros;NA;1814;APREC - Associação de Proteção a Ecossistemas Costeiros;NA;51
Associação de Produtores de Soja de Mato Grosso (APROSOJA);NA;1792;APROSOJA/MT - Associação de Produtores de Soja de Mato Grosso;NA;52
Aracruz Celulose S.A.;Corporate Relations;1858;Aracruz Celulose S.A.;NA;53
Arborgen;Supervisor of Public and Government Affairs;151;ArborGen;NA;54
ArborGen;NA;3023;ArborGen;NA;54
Arcelor Mittal;Belgo;1825;Arcelor Mittal;NA;55
Arcelor Mittal;Acesita;1826;Arcelor Mittal;NA;55
Arcelor Mittal;Tubarao;1827;Arcelor Mittal;NA;55
Archipelago Environmental Engineering;NA;1639;Archipelago Engenharia Ambiental;NA;56
Indigenous People of the Pantanal Association;NA;937;ARPIPAN - Articulação dos Povos Indígenas do Pantanal;NA;57
"Architect and Urbanist; Politician";NA;864;Arquiteto;NA;58
NA;Press;2621;Assessoria de Imprensa;NA;59
Special Advisory Officer of the President of the Republic;NA;461;Assessoria Especial da Presidência da República;NA;60
Advisory Office of the President of the Republic;NA;488;Assessoria Especial da Presidência da República;NA;60
Special Advisory Office of the President of the Republic;NA;512;Assessoria Especial da Presidência da República;NA;60
Brazilian Association of Environment Institutes;NA;68;Associação Brasileira de Institutos Ambientais;NA;61
Association of Commerce of the State of Minas Gerais;NA;2042;Associação Comercial de Minas Gerais;NA;62
Latin America Non-Governamental Organizations Association;NA;1118;Associação Latino-americana de ONGs;NA;63
National Association of the Public Ministry Members;NA;100;Associação Nacional de Membros do Ministério Público;NA;64
Associcação Cultural dos Protetores do Rio Crixás de Santa Terezinha;Association of Environmental Protection;2413;Associação Cultural dos Protetores do Rio Crixás de Santa Terezinha;NA;65
Olympic Authority;NA;518;Autoridade Pública Olímpica;NA;66
Olympic Public Authority;Environment and Event Support, Director of Sports Infrastructure;536;Autoridade Pública Olímpica;NA;66
Avaaz;NA;1111;Avaaz;NA;67
Banco Bradesco;Environment;2240;Banco Bradesco;NA;68
Banco Bradesco;Social Environmental Responsability, Market Relations;2311;Banco Bradesco;NA;68
Central Bank of Brazil;NA;393;Banco Central do Brasil;NA;69
Central bank of Brazil;NA;446;Banco Central do Brasil;NA;69
Banco da Amazônia;Strategic and organizational management;1210;Banco da Amazônia;NA;70
Banco da Amazônia;NA;1252;Banco da Amazônia;NA;70
Bank of Amazon;NA;2029;Banco da Amazônia;NA;70
Bank of Brazil;NA;450;Banco do Brasil;NA;71
Banco do Brasil;NA;539;Banco do Brasil;NA;71
Banco do Brasil;Sustainable Development Manager;540;Banco do Brasil;NA;71
Banco do Brasil Foundation;NA;735;Banco do Brasil;Fundação Banco do Brasil;71
Bank of Brazil;Managing People and Sustainable Development;2220;Banco do Brasil;NA;71
Bank of Brazil;Sustainable Development;2255;Banco do Brasil;NA;71
Bank of Brazil;Human Resources and Sustainable Development;2283;Banco do Brasil;NA;71
Banco do Nordeste do Brasil;Development Management;506;Banco do Nordeste do Brasil;NA;72
Banco do Nordeste do Brasil;NA;508;Banco do Nordeste do Brasil;NA;72
Banco do Nordeste do Brasil;Directorship of Administration and of Information Technology;546;Banco do Nordeste do Brasil;NA;72
Itaú Bank;Sustainability;2186;Banco Itaú;NA;73
World Bank;NA;1181;Banco Mundial;NA;74
Banco Mundial;"Diretoria-Executiva;Representação brasileira";2843;Banco Mundial;NA;74
Santander;NA;2069;Banco Santander;NA;75
Santander Bank;NA;2274;Banco Santander;NA;75
Santander Bank;Sustainability;2276;Banco Santander;NA;75
Barbosa, Mussnich & Aragao Law Firm;NA;1705;Barbosa, Mussnich & Aragão Advogados;NA;76
Barros Carvalho Law Firm;NA;1704;Barros Carvalho Advogados;NA;77
Business Council for Sustainable Energy;Program on Governance for Sustainable Development;1763;BCSE - Business Council for Sustainable Energy;NA;78
Belgo Siderurgia S.A.;Environment Corporative Manager;1694;Belgo Siderurgia S.A.;NA;79
Biolfilica;NA;2041;Biofílica Investimentos Ambientais;NA;80
Biofílica Environmental Investments;NA;2158;Biofílica Investimentos Ambientais;NA;80
Biofílica Environmental Investments;NA;2158;Biofílica Investimentos Ambientais;NA;80
Biofílica Environmental Investments;Commercial and Financial;2291;Biofílica Investimentos Ambientais;NA;80
Biofílica Environmental Investments;Forest Conservation and Environment;2310;Biofílica Investimentos Ambientais;NA;80
Biofílica Environmental Investments;Project Coordinator, REDD+;2431;Biofílica Investimentos Ambientais;NA;80
BioFinance;NA;1839;Biofinance;NA;81
Biology Advanced Center;NA;2065;Biology Advance Center;NA;82
Bloomberg Finance and Energy;Latin America;1037;Bloomberg;NA;83
Brazilian Mercantile & Futures Exchange;Special Project;1699;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
Brazilian Mercantile & Futures Exchange;NA;1707;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
Brazilian Mercantile & Futures Exchange;Advisory Council;1708;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
Brazilian Mercantile and Futures Exchange;NA;1765;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
Brazilian Mercantile and Futures Exchange;Special Project;1832;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
BMF and Bovespa;NA;2061;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
BM&F BOVESPA Brazilian Mercantile and Futures Exchange;Special Project;2062;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
BMF and Bovespa;Sustainability;2192;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;NA;84
BMW-Brazil;NA;814;BMW Brasil;NA;85
BMW-Brazil;Corporate Communications;928;BMW Brasil;NA;85
Brazilian Development Bank;NA;64;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank (BNDES);NA;323;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank (BNDES);Environmental Division;324;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank;International Affairs and International Commerce;964;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank;Environment;1194;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank of Social and Economic Development;"Secretariat of Fiscal Affairs; Planning";1431;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank of Social and Economic Development;Environment Section;1433;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank of Social and Economic Development;NA;1511;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;Department of Environment;1666;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;NA;1730;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;NA;1730;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Banco Nacional de Desenvolvimento Econômico e Social;NA;1817;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Banco Nacional de Desenvolvimento Econômico e Social;Fundo de Investimentos em Participação;1818;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Banco Nacional de Desenvolvimento Econômico e Social;Environmental;1866;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Banco Nacional de Desenvolvimento Econômico e Social;Amazon Fund;1982;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;Environment, Agriculture and Social Inclusion;2273;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;Environmental Division;2282;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank;Legal department, Environmental division;2322;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank;Environmental division, Amazon Fund;2362;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Brazilian Development Bank;Environmental division;2397;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Banco Nacional de Desenvolvimento Econômico e Social;Environmental Department;2438;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank for Economic and Social Development;Amazon Fund Management Department;2578;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank for Economic and Social Development;Environmental Issues;2630;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank for Economic and Social Development;NA;2636;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank for Economic and Social Development;Public and Social Environmental Management Area;2733;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank for Economic and Social Development;Amazon Fund, Department of Environment and Management;2734;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
BNDES;Gerência Executiva de Meio Ambiente;2897;BNDES - Banco Nacional de Desenvolvimento Econômico e Social;NA;86
National Bank of Housing;NA;340;BNH - Banco Nacional da Habitação;NA;87
Brazilian Pulp and Paper Association - Bracelpa;NA;1879;BRACELPA - Associação Brasileira de Celulose e Papel;NA;88
Brazilian Pulp and Paper Association;NA;1933;BRACELPA - Associação Brasileira de Celulose e Papel;NA;88
Brazilian Pulp and Paper Association;Presidency;2049;BRACELPA - Associação Brasileira de Celulose e Papel;NA;88
Brazilian Pulp and Paper Association;International Affairs;2050;BRACELPA - Associação Brasileira de Celulose e Papel;NA;88
"Brazilian Association of Producers of Urea Formaldehyde Resin; Brazilian Pulp and Paper Association";NA;2275;BRACELPA - Associação Brasileira de Celulose e Papel;NA;88
Brasil das Aguas;NA;1946;Brasil das Águas;NA;89
Brasil Ecodiesel;NA;1632;Brasil Ecodiesel;NA;90
Brazil Ecodiesel;NA;1643;Brasil Ecodiesel;NA;90
Brazil Mata Viva Program;NA;2028;Brasil Mata Viva;NA;91
Brasil Mata Viva;NA;2114;Brasil Mata Viva;NA;91
Breskem;Sustainable Development;881;Braskem;NA;92
Braskem;Institutional Relations and Sustainable Development;985;Braskem;NA;92
Braskem;NA;2070;Braskem;NA;92
Braskem;Sustainable Development, Corporate Coordinator;2460;Braskem;NA;92
Brasil Foods;NA;2160;BRF - Brasil Foods;NA;93
BvRio;NA;532;BVRio - Bolsa Verde do Rio de Janeiro;NA;94
Bolsa Verde do Rio de Janeiro;NA;2368;BVRio - Bolsa Verde do Rio de Janeiro;NA;94
C.M Consult;NA;2089;C.M. Consult Ltda;NA;95
C.M. Consult Ltda;NA;2095;C.M. Consult Ltda;NA;95
Centro de Assessoria e Apoio aos Trabalhadores e Instituições não Governamentais Alternativas;NA;1305;CAATINGA - Centro de Assessoria e Apoio a Trabalhadores/as e Instituições Não Governamentais Alternativas;NA;96
Administrative Council of Economic Defense;NA;734;CADE - Conselho Administrativo de Defesa Econômica;NA;97
Caixa;NA;879;Caixa Econômica Federal;NA;98
Caixa Econômica Federal;NA;1927;Caixa Econômica Federal;NA;98
Caixa Econômica Federal;Environment;2222;Caixa Econômica Federal;NA;98
Caixa Econômica Federal;Corporate Operations;2256;Caixa Econômica Federal;NA;98
Caixa Econômica Federal;Sustainability and Social Responsibility;2285;Caixa Econômica Federal;NA;98
Caixa Econômica Federal;Sustainability;2511;Caixa Econômica Federal;NA;98
Japanese Commerce and Industry Chamber in Brazil;NA;1644;Câmara de Comércio e Indústria Japonesa do Brasil;NA;99
Brazil-Japan Chamber of Commerce of the State of Parana;NA;111;Câmara do Comércio e Indústria Brasil-Japão do Paraná;NA;100
House of Representatives;Special Commission on Environmental Pollution;355;Câmara dos Deputados;NA;101
Chamber of Deputies;NA;449;Câmara dos Deputados;NA;101
Chamber of Education;NA;511;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Participative Legislation;604;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Mining and Energy;615;Câmara dos Deputados;NA;101
Chamber of Deputies;Consumer Protection Commission;678;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Financial Oversight;736;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission of Science, Technology;738;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Public Safety and Combat;743;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Social Security;866;Câmara dos Deputados;NA;101
Chamber of Deputies;Female Stand;867;Câmara dos Deputados;NA;101
Chamber of Deputies;International Affairs and Protocol Office;942;Câmara dos Deputados;NA;101
Chamber of Deputies;Presidency;1056;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Education and Culture;1059;Câmara dos Deputados;NA;101
Chamber of Deputies;International;1093;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Human Rights;1100;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Finance and Taxation;1101;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Agriculture, Livestock;1115;Câmara dos Deputados;NA;101
Chamber of Deputies;Chamber of Deputies;1117;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Constitution and Justice;1145;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Urban Development;1150;Câmara dos Deputados;NA;101
Chamber of Deputies;Parliamentary committee;1154;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on the Environment and Sustainable;1161;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on labour, Administration;1162;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission on Transportation;1214;Câmara dos Deputados;NA;101
National Integrate Chamber of Deputies;Commission on the Amazon;1216;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission of External Relations and Nations;1251;Câmara dos Deputados;NA;101
Chamber of Deputies;Commission for Economic Development;1255;Câmara dos Deputados;NA;101
Chamber pf Deputies;NA;1262;Câmara dos Deputados;NA;101
Chamber of Deputies;Environmental Front;2564;Câmara dos Deputados;NA;101
Câmara dos Deputados;NA;2799;Câmara dos Deputados;NA;101
Câmara dos Deputados;NA;2799;Câmara dos Deputados;NA;101
Câmara dos Deputados;Presidência da Câmara;2949;Câmara dos Deputados;NA;101
Câmara dos Deputados;Assessoria Jurídica;3069;Câmara dos Deputados;NA;101
Camargo Corrêa;Sustainability;670;Camargo Corrêa;NA;102
Camargo Correa S.A.;NA;2085;Camargo Corrêa;NA;102
Camargo Corrêa;NA;2141;Camargo Corrêa;NA;102
Camargo Corrêa;Holding Company;2146;Camargo Corrêa;NA;102
Camargo Corrêa;Construções e Comércio, International Business;2343;Camargo Corrêa;NA;102
Capes;NA;877;CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;NA;103
Social Carbon Standard;NA;2108;Carbono Social Serviços Ambientais;NA;104
Care International;NA;1739;Care International;NA;105
Care International;Communication;1742;Care International;NA;105
Civilian Household - Presidencia da Republica;NA;144;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;NA;371;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff (Civil House);NA;633;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;Advisor for International Affair;763;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;Chief of Staff;829;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;SAG;892;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;Protocol;1022;Casa Civil da Presidência da República;NA;106
Office of the Chief of Staff;SAM;1069;Casa Civil da Presidência da República;NA;106
Chief of Staff (Casa Civil);NA;1888;Casa Civil da Presidência da República;NA;106
Civil House of the Presidency;NA;2653;Casa Civil da Presidência da República;NA;106
Casa Civil;Assessoria Jurídica;2986;Casa Civil da Presidência da República;NA;106
Mint of Brazil;Public Information Policy advisor;1015;Casa da Moeda do Brasil;NA;107
Mint of Brazil;Management;1119;Casa da Moeda do Brasil;NA;107
CNH - Case New Holland LatinAmerica;NA;2087;Case New Holland Latin America;NA;108
Case New Holland Latin America;NA;2156;Case New Holland Latin America;NA;108
Casemg;NA;946;CASEMG - Companhia de Armazéns e Silos do Estado de Minas Gerais;NA;109
Brazilian council of Sustainable Construction;NA;767;CBCS - Conselho Brasileiro de Construção Sustentável;NA;110
Brazilian Council of Sustainable Construction;NA;1008;CBCS - Conselho Brasileiro de Construção Sustentável;NA;110
Brazilian Council of Sustainable Construction, CBCS;NA;2059;CBCS - Conselho Brasileiro de Construção Sustentável;NA;110
Brazilian Center for Phisics Research;NA;779;CBPF - Centro Brasileiro de Pesquisas Físicas;NA;111
Brazilian Urban Train Company;NA;797;CBTU - Companhia Brasileira de Trens Urbanos;NA;112
International Chamber of Comerce Brazil;International Affairs;982;CCI - Câmara de Comércio Internacional;NA;113
International Chamber of Commerce;Environmental Legal Working Group;1466;CCI - Câmara de Comércio Internacional;NA;113
International Chamber of Commerce - Brazil;NA;1625;CCI - Câmara de Comércio Internacional;NA;113
International Chamber of Commerce;Brazilian Committee;1626;CCI - Câmara de Comércio Internacional;NA;113
International Chamber of Commerce;NA;1642;CCI - Câmara de Comércio Internacional;NA;113
Câmara de Comércio Internacional (CCI);NA;1838;CCI - Câmara de Comércio Internacional;NA;113
CCN;NA;1472;CCN;NA;114
Dock Company of Rio de Janeiro;NA;403;CDRJ - Companhia Docas do Rio de Janeiro;NA;115
