"";"org_sujo";"org_detalhe_sujo";"id_org_dupla";"org_limpo";"org_detalhe_limpo";"id_org_unica"
"67";"Asociación Nacional de Universidades Tecnológicas (ANUT)";NA;1833;"ANUT - Asociación Nacional de Universidades Tecnológicas";NA;47
"68";"Associação Brasileira das Indústrias Exportadoras de Carnes";NA;2037;"ABIEC - Associação Brasileira das Indústrias Exportadoras de Carnes";NA;7
"69";"Associação Brasileira de Entidades Estaduais de Meio Ambiente";NA;2398;"ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente";NA;4
"70";"Associação de Produtores de Soja de Mato Grosso (APROSOJA)";NA;1792;"APROSOJA/MT - Associação de Produtores de Soja de Mato Grosso";NA;52
"71";"Associacao de Protecao a Ecossistemas Costeiros";NA;1814;"APREC - Associação de Proteção a Ecossistemas Costeiros";NA;51
"72";"Associação dos Criadores de Mato Grosso (ACRIMAT)";NA;1793;"ACRIMAT - Associação dos Criadores de Mato Grosso";NA;20
"73";"Associação dos Criadores de Mato-Grosso";NA;1962;"ACRIMAT - Associação dos Criadores de Mato Grosso";NA;20
"74";"Association for the Protection of Coastal Ecosystems";NA;1752;"APREC - Associação de Proteção a Ecossistemas Costeiros";NA;51
"75";"Association of Commerce of the State of Minas Gerais";NA;2042;"Associação Comercial de Minas Gerais";NA;62
"76";"Associcação Cultural dos Protetores do Rio Crixás de Santa Terezinha";"Association of Environmental Protection";2413;"Associação Cultural dos Protetores do Rio Crixás de Santa Terezinha";NA;65
"77";"Avaaz";NA;1111;"Avaaz";NA;67
"78";"Banco Bradesco";"Environment";2240;"Banco Bradesco";NA;68
"79";"Banco Bradesco";"Social Environmental Responsability, Market Relations";2311;"Banco Bradesco";NA;68
"80";"Banco da Amazônia";"Strategic and organizational management";1210;"Banco da Amazônia";NA;70
"81";"Banco da Amazônia";NA;1252;"Banco da Amazônia";NA;70
"82";"Banco do Brasil";NA;539;"Banco do Brasil";NA;71
"83";"Banco do Brasil";"Sustainable Development Manager";540;"Banco do Brasil";NA;71
"84";"Banco do Brasil Foundation";NA;735;"Banco do Brasil";"Fundação Banco do Brasil";71
"85";"Banco do Nordeste do Brasil";"Development Management";506;"Banco do Nordeste do Brasil";NA;72
"86";"Banco do Nordeste do Brasil";NA;508;"Banco do Nordeste do Brasil";NA;72
"87";"Banco do Nordeste do Brasil";"Directorship of Administration and of Information Technology";546;"Banco do Nordeste do Brasil";NA;72
"88";"Banco Nacional de Desenvolvimento Econômico e Social";NA;1817;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"89";"Banco Nacional de Desenvolvimento Econômico e Social";"Fundo de Investimentos em Participação";1818;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"90";"Banco Nacional de Desenvolvimento Econômico e Social";"Environmental";1866;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"91";"Banco Nacional de Desenvolvimento Econômico e Social";"Amazon Fund";1982;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"92";"Banco Nacional de Desenvolvimento Econômico e Social";"Environmental Department";2438;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"93";"Bank of Amazon";NA;2029;"Banco da Amazônia";NA;70
"94";"Bank of Brazil";NA;450;"Banco do Brasil";NA;71
"95";"Bank of Brazil";"Managing People and Sustainable Development";2220;"Banco do Brasil";NA;71
"96";"Bank of Brazil";"Sustainable Development";2255;"Banco do Brasil";NA;71
"97";"Bank of Brazil";"Human Resources and Sustainable Development";2283;"Banco do Brasil";NA;71
"98";"Barbosa, Mussnich & Aragao Law Firm";NA;1705;"Barbosa, Mussnich & Aragão Advogados";NA;76
"99";"Barros Carvalho Law Firm";NA;1704;"Barros Carvalho Advogados";NA;77
"100";"Belgo Siderurgia S.A.";"Environment Corporative Manager";1694;"Belgo Siderurgia S.A.";NA;79
"101";"Biofílica Environmental Investments";NA;2158;"Biofílica Investimentos Ambientais";NA;80
"102";"Biofílica Environmental Investments";"Commercial and Financial";2291;"Biofílica Investimentos Ambientais";NA;80
"103";"Biofílica Environmental Investments";"Forest Conservation and Environment";2310;"Biofílica Investimentos Ambientais";NA;80
"104";"Biofílica Environmental Investments";"Project Coordinator, REDD+";2431;"Biofílica Investimentos Ambientais";NA;80
"105";"BioFinance";NA;1839;"Biofinance";NA;81
"106";"Biolfilica";NA;2041;"Biofílica Investimentos Ambientais";NA;80
"107";"Biology Advanced Center";NA;2065;"Biology Advance Center";NA;82
"108";"Bloomberg Finance and Energy";"Latin America";1037;"Bloomberg";NA;83
"109";"BM&F BOVESPA Brazilian Mercantile and Futures Exchange";"Special Project";2062;"BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros";NA;84
"110";"BMF and Bovespa";NA;2061;"BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros";NA;84
"111";"BMF and Bovespa";"Sustainability";2192;"BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros";NA;84
"112";"BMW-Brazil";NA;814;"BMW Brasil";NA;85
"113";"BMW-Brazil";"Corporate Communications";928;"BMW Brasil";NA;85
"114";"BNDES";"Department of Environment";1666;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"115";"BNDES";NA;1730;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"116";"BNDES";"Environment, Agriculture and Social Inclusion";2273;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"117";"BNDES";"Environmental Division";2282;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"118";"Bolsa Verde do Rio de Janeiro";NA;2368;"BVRio - Bolsa Verde do Rio de Janeiro";NA;94
"119";"Bralizian Court of Audit";"Secretariat for Social Communication";618;"TCU - Tribunal de Contas da União";NA;594
"120";"Brasil das Aguas";NA;1946;"Brasil das Águas";NA;89
"121";"Brasil Ecodiesel";NA;1632;"Brasil Ecodiesel";NA;90
"122";"Brasil Foods";NA;2160;"BRF - Brasil Foods";NA;93
"123";"Brasil Mata Viva";NA;2114;"Brasil Mata Viva";NA;91
"124";"Brasilian Law Bar Association";NA;2096;"OAB - Ordem dos Advogados do Brasil";NA;502
"125";"Brasilian Rural Society";NA;2729;"SRB - Sociedade Rural Brasileira";NA;582
"126";"Braskem";"Institutional Relations and Sustainable Development";985;"Braskem";NA;92
"127";"Braskem";NA;2070;"Braskem";NA;92
"128";"Braskem";"Sustainable Development, Corporate Coordinator";2460;"Braskem";NA;92
"129";"Brazil Ecodiesel";NA;1643;"Brasil Ecodiesel";NA;90
"130";"Brazil Mata Viva Program";NA;2028;"Brasil Mata Viva";NA;91
"131";"Brazilian Academy of Science";NA;669;"Academia Brasileira de Ciências";NA;18
"132";"Brazilian Agency for Land Transportation";NA;780;"ANTT - Agência Nacional de Transportes Terrestres";NA;46
"133";"Brazilian Agricultural Research Company";"Embrapa Environment";149;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"134";"Brazilian Agricultural Research Corporation";NA;718;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"135";"Brazilian Agricultural Research Corporation";"Satellite Monitoring";1062;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"136";"Brazilian Agricultural Research Corporation (EMBRAPA)";NA;320;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"137";"Brazilian Agricultural Researcher Cooperation";NA;1220;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"138";"Brazilian Agriculture Research Corporation";NA;2148;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"139";"Brazilian Aiports Authority";NA;949;"INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária";NA;348
"140";"Brazilian Aiports Authority";"Operational Management";972;"INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária";NA;348
"141";"Brazilian Association of Carbon Market Corporations";NA;2104;"ABEMC - Associação Brasileira das Empresas do Mercado de Carbono";NA;5
"142";"Brazilian Association of Electric Energy Companies (ABCE)";NA;2034;"ABCE - Associação Brasileira de Companhias de Energia Elétrica";NA;2
"143";"Brazilian Association of Environment Institutes";NA;68;"Associação Brasileira de Institutos Ambientais";NA;61
"144";"Brazilian Association of Major Industrial Energy Consumers";NA;1470;"ABRACE - Associação Brasileira de Grandes Consumidores Industriais de Energia";NA;15
"145";"Brazilian Association of Municipalities";"Mayor of Tanguá";651;"ABM - Associação Brasileira de Municípios";NA;12
"146";"Brazilian Association of Municipalities";NA;724;"ABM - Associação Brasileira de Municípios";NA;12
"147";"Brazilian Association of Municipalities";"Mayor of Moju";845;"ABM - Associação Brasileira de Municípios";NA;12
"148";"Brazilian Association of Municipalities";"Nova Prata";1242;"ABM - Associação Brasileira de Municípios";NA;12
"149";"Brazilian Association of Non-Governamental Organizations";NA;1209;"ABONG - Associação Brasileira de Organizações Não-Governamentais";NA;13
"150";"Brazilian Association of Non-Governamental Organizations";"Food security";1258;"ABONG - Associação Brasileira de Organizações Não-Governamentais";NA;13
"151";"Brazilian Association of Non-Governmental Organizations";NA;862;"ABONG - Associação Brasileira de Organizações Não-Governamentais";NA;13
"152";"Brazilian Association of Producers of Urea Formaldehyde Resin; Brazilian Pulp and Paper Association";NA;2275;"BRACELPA - Associação Brasileira de Celulose e Papel";NA;88
"153";"Brazilian Association of the Chemical Industry";"Regulatory Affairs and Sustainability";2260;"ABIQUIM - Associação Brasileira da Indústria Química";NA;11
"154";"Brazilian Association of the Companies of Carbon Market";NA;2176;"ABEMC - Associação Brasileira das Empresas do Mercado de Carbono";NA;5
"155";"Brazilian Association of the Lesbians, Gays and Homosexuals";NA;1204;"ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos";NA;6
"156";"Brazilian Association of the Lesbians, Gays, Homosexuals";NA;820;"ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos";NA;6
"157";"Brazilian Bar Association";NA;1841;"OAB - Ordem dos Advogados do Brasil";NA;502
"158";"Brazilian Biodiversity Fund";NA;133;"FUNBIO - Fundo Brasileiro para a Biodiversidade";NA;287
"159";"Brazilian Biodiversity Fund";"Knowledge Unit Manager";140;"FUNBIO - Fundo Brasileiro para a Biodiversidade";NA;287
"160";"Brazilian Biodiversity Fund";"Marketing";145;"FUNBIO - Fundo Brasileiro para a Biodiversidade";NA;287
"161";"Brazilian Bishops National Confederation";NA;1098;"CNBB - Conferência Nacional dos Bispos do Brasil";NA;136
"162";"Brazilian Business Council for Sustainable Development";NA;41;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"163";"Brazilian Business Council for Sustainable Development";"Projeto Plantar";1692;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"164";"Brazilian Business Council for Sustainable Development";"Grupo Plantar";1696;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"165";"Brazilian Business Council for Sustainable Development";"PLANTAR, Carbon Projects Manager";1751;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"166";"Brazilian Business Council for Sustainable Development";"VOTORANTIM, Cooperative Manager Partner";1756;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"167";"Brazilian Business Council for Sustainable Development";"BAYER, Cooperative Chief of Environment Partner";1761;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"168";"Brazilian Business Council for Sustainable Development";"Banco Real";1764;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"169";"Brazilian Business Council for Sustainable Development";"Presidency";1943;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"170";"Brazilian Business Council forSustainable Development";NA;1501;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"171";"Brazilian Center for Phisics Research";NA;779;"CBPF - Centro Brasileiro de Pesquisas Físicas";NA;111
"172";"Brazilian Communications Company";NA;720;"EBC - Empresa Brasil de Comunicação";NA;203
"173";"Brazilian Confederation of Agriculture and Livestock - CNA";NA;2254;"CNA - Confederação Nacional da Agricultura e Pecuária";NA;135
"174";"Brazilian Conservation Foundation";NA;244;"FBCN - Fundação Brasileira para Conservação da Natureza";NA;258
"175";"Brazilian Corporation for Agricultural Research";NA;1648;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"176";"Brazilian Council of Education Secretaries";NA;1038;"CONSED - Conselho Nacional de Secretários de Educação";NA;167
"177";"Brazilian council of Sustainable Construction";NA;767;"CBCS - Conselho Brasileiro de Construção Sustentável";NA;110
"178";"Brazilian Council of Sustainable Construction";NA;1008;"CBCS - Conselho Brasileiro de Construção Sustentável";NA;110
"179";"Brazilian Council of Sustainable Construction, CBCS";NA;2059;"CBCS - Conselho Brasileiro de Construção Sustentável";NA;110
"180";"Brazilian Court of Audit";NA;616;"TCU - Tribunal de Contas da União";NA;594
"181";"Brazilian Court of Audit";"Brazilian Court of Audit";621;"TCU - Tribunal de Contas da União";NA;594
"182";"Brazilian Court of Audit";"Aceri";686;"TCU - Tribunal de Contas da União";NA;594
"183";"Brazilian Court of Audit";"Communications Office";688;"TCU - Tribunal de Contas da União";NA;594
"184";"Brazilian Court of Audit";"International Affairs Office";1102;"TCU - Tribunal de Contas da União";NA;594
"185";"Brazilian Court of Audit (TCU)";NA;1213;"TCU - Tribunal de Contas da União";NA;594
"186";"Brazilian Development Bank";NA;64;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"187";"Brazilian Development Bank";"International Affairs and International Commerce";964;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"188";"Brazilian Development Bank";"Environment";1194;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"189";"Brazilian Development Bank";"Legal department, Environmental division";2322;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"190";"Brazilian Development Bank";"Environmental division, Amazon Fund";2362;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"191";"Brazilian Development Bank";"Environmental division";2397;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"192";"Brazilian Development Bank (BNDES)";NA;323;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"193";"Brazilian Development Bank (BNDES)";"Environmental Division";324;"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";NA;86
"194";"Brazilian Engineering and Architects Council";"Environment";1703;"CONFEA - Conselho Federal de Engenharia, Arquitetura e Agronomia";NA;162
"195";"Brazilian Enterprise for Agricultural Research";"Environment Monitoring";1460;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"196";"Brazilian Enterprise for Agricultural Research";NA;1602;"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";NA;214
"197";"Brazilian Entrepreneurial Business Council for Sustainable Development";NA;1484;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"198";"Brazilian Entrepreneurial Council for Sustainable Development";NA;63;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"199";"Brazilian Entrepreneurial Council for Sustainable Development";"Companhia de Gas de Sao Paulo (COMGAS)";1478;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"200";"Brazilian Entrepreneurial Council for Sustainable Development";"Companhia Vale do Rio Doce";1479;"CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;118
"201";"Brazilian Environmental Agency";NA;2615;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"202";"Brazilian Environmental Agency";"National Center of Prevention and Action Against Forest Fires";2651;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"203";"Brazilian Environmental Agency";"Communication Unit, Press";2652;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"204";"Brazilian External Trade Association";"International";910;"AEB - Associação de Comércio Exterior do Brasil";NA;24
"205";"Brazilian External Trade Association";NA;912;"AEB - Associação de Comércio Exterior do Brasil";NA;24
"206";"Brazilian Federal Senate";"Legislative Advisory Board";43;"Senado Federal";NA;568
"207";"Brazilian Foreign Ministry";NA;311;"Ministério das Relações Exteriores";NA;435
"208";"Brazilian Forest Service";NA;310;"SFB - Serviço Florestal Brasileiro";NA;572
"209";"Brazilian Forest Service";"Forest Registry and Development";326;"SFB - Serviço Florestal Brasileiro";NA;572
"210";"Brazilian Forest Service";"Brazilian Forest Service";2602;"SFB - Serviço Florestal Brasileiro";NA;572
"211";"Brazilian Forest Service (SFB)";NA;321;"SFB - Serviço Florestal Brasileiro";NA;572
"212";"Brazilian Forum of Climate Change";NA;1575;"FBMC - Fórum Brasileiro de Mudanças Climáticas";NA;260
"213";"Brazilian Forum of NGOs and Social Movements for the Environment and Develpment";NA;42;"FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento";NA;261
"214";"Brazilian Forum on Climate Change";NA;1483;"FBMC - Fórum Brasileiro de Mudanças Climáticas";NA;260
"215";"Brazilian Forum on Climate Change";"Center of Environmental Resources, State of Bahia";1786;"FBMC - Fórum Brasileiro de Mudanças Climáticas";NA;260
"216";"Brazilian Forum on Climate Change";"Executive Secretariat";2182;"FBMC - Fórum Brasileiro de Mudanças Climáticas";NA;260
"217";"Brazilian Foundation for Sustainable Development";NA;848;"FBDS - Fundação Brasileira para o Desenvolvimento Sustentável";NA;259
"218";"Brazilian Foundation for SustainableDevelopment";NA;1509;"FBDS - Fundação Brasileira para o Desenvolvimento Sustentável";NA;259
"219";"Brazilian Health Regulatory Agency";"Coordination for International Cooperation, Office for International Affairs";1330;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"220";"Brazilian Health Regulatory Agency - ANVISA";"International Cooperation";1343;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"221";"Brazilian Health Regulatory Agency (ANVISA)";"Coordination for International Cooperation/Office for International Affairs";1339;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"222";"Brazilian Institute for Cultural Heritage";NA;1414;"IBPC - Instituto Brasileiro do Patrimônio Cultural";NA;328
"223";"Brazilian Institute for the Environment (IBAMA)";NA;1374;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"224";"Brazilian Institute of Economic and Social Analysis";NA;668;"IBASE - Instituto Brasileiro de Análises Sociais e Econômicas";NA;325
"225";"Brazilian Institute of Environment and Renewable Natural Resources";NA;1332;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"226";"Brazilian Institute of Environment and Renewable Natural Resources";"Environmental Quality";1333;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"227";"Brazilian Institute of Environment and Renewable Natural Resources";"Environmental Quality Department";1340;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"228";"Brazilian Institute of Environment and Renewable Natural Resources";"Coordination of Waste and Emission Controls";1353;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"229";"Brazilian Institute of Environment and Renewable Natural Resources";"Management of Mercury Trade and Use, Coordination Control of Waste and Emissions, Board of Environmental Quality";1364;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"230";"Brazilian Institute of Forest Development";NA;295;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"231";"Brazilian Institute of Forest Development";"Project BRA/82/008";296;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"232";"Brazilian Institute of Forestry Development (IBDF)";NA;298;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"233";"Brazilian Institute of Geography and Statistics";NA;342;"IBGE - Instituto Brasileiro de Geografia e Estatística";NA;327
"234";"Brazilian Institute of Geography and Statistics";"Sustainable Development";1898;"IBGE - Instituto Brasileiro de Geografia e Estatística";NA;327
"235";"Brazilian Institute of the Environment";NA;1243;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"236";"Brazilian Institute of the Environment and Renewable Natural Resources";NA;45;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"237";"Brazilian Inteligence Agency";NA;958;"ABIN - Agência Brasileira de Inteligência";NA;8
"238";"Brazilian Intelligence Agency";NA;84;"ABIN - Agência Brasileira de Inteligência";NA;8
"239";"Brazilian Law Bar Association";NA;2077;"OAB - Ordem dos Advogados do Brasil";NA;502
