"";"org_limpo";"id_org_unica";"tipo_org";"tipo_org_reduzido"
"44";"FBMC - Fórum Brasileiro de Mudanças Climáticas";260;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"45";"Fiocruz - Fundação Oswaldo Cruz";272;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"46";"FNDE - Fundo Nacional de Desenvolvimento da Educação";276;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"47";"FUNAI - Fundação Nacional do Índio";283;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"48";"Funarte - Fundação Nacional de Artes";284;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"49";"FUNASA - Fundação Nacional de Saúde";285;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"50";"Funatura - Fundação Pró-Natureza";286;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"51";"Fundação Biblioteca Nacional";290;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"52";"Fundação Casa de Rui Barbosa";292;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"53";"Fundação Cultural Palmares";293;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"54";"Fundação Joaquim Nabuco";298;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"55";"Fundacentro - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho";301;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"56";"Gabinete de Segurança Institucional da Presidência";304;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"57";"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";324;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"58";"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";326;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"59";"IBGE - Instituto Brasileiro de Geografia e Estatística";327;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"60";"IBPC - Instituto Brasileiro do Patrimônio Cultural";328;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"61";"IBRAM - Instituto Brasileiro de Museus";329;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"62";"ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade";333;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"63";"INCRA - Instituto Nacional de Colonização e Reforma Agrária";344;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"64";"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";346;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"65";"INMET - Instituto Nacional de Meteorologia";349;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"66";"INMETRO - Instituto Nacional de Metrologia, Qualidade e Tecnologia";350;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"67";"INPH - Instituto Nacional de Pesquisas Hidroviárias";353;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"68";"INPI - Instituto Nacional da Propriedade Industrial";354;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"69";"Instituto Evandro Chagas";371;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"70";"IPEA - Instituto de Pesquisa Econômica Aplicada";394;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"71";"IPHAN - Instituto do Patrimônio Histórico e Artístico Nacional";395;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"72";"Marinha do Brasil";416;"Forças Armadas";"Governo federal não-MRE"
"73";"Ministério da Agricultura, Pecuária e Abastecimento";421;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"74";"Ministério da Ciência e Tecnologia";422;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"75";"Ministério da Cultura";423;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"76";"Ministério da Defesa";424;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"77";"Ministério da Economia";425;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"78";"Ministério da Educação";426;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"79";"Ministério da Fazenda";427;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"80";"Ministério da Integração Nacional";428;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"81";"Ministério da Justiça";429;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"82";"Ministério da Pesca e Aquicultura";430;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"83";"Ministério da Previdência Social";431;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"84";"Ministério da Saúde";432;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"85";"Ministério das Cidades";433;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"86";"Ministério das Comunicações";434;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"87";"Ministério de Minas e Energia";436;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"88";"Ministério do Desenvolvimento Agrário";437;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"89";"Ministério do Desenvolvimento Social e Combate à Fome";438;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"90";"Ministério do Desenvolvimento, Indústria e Comércio Exterior";439;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"91";"Ministério do Esporte";440;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"92";"Ministério do Interior";441;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"93";"Ministério do Meio Ambiente";442;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"94";"Ministério do Planejamento, Desenvolvimento e Gestão";443;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"95";"Ministério do Planejamento, Orçamento e Gestão";444;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"96";"Ministério do Trabalho e Emprego";445;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"97";"Ministério do Turismo";446;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"98";"Ministério dos Transportes";447;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"99";"Ministério Extraordinário de Política Fundiária";448;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"100";"Núcleo de Assuntos Estratégicos da Presidência";500;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"101";"Polícia Federal";521;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"102";"Presidência da República";523;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"103";"PREVIC - Superintendência Nacional de Previdência Complementar";524;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"104";"Representação brasileira para a International Maritime Organization";542;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"105";"Secretaria de Assuntos Estratégicos";551;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"106";"Secretaria de Aviação Civil";552;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"107";"Secretaria de Ciência e Tecnologia da Presidência";553;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"108";"Secretaria de Comunicação Social da Presidência";554;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"109";"Secretaria de Meio Ambiente da Presidência";555;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"110";"Secretaria de Planejamento da Presidência da República";556;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"111";"Secretaria de Políticas de Promoção da Igualdade Racial";557;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"112";"Secretaria de Relações Institucionais";558;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"113";"Secretaria do Meio Ambiente da Presidência da República";559;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"114";"Secretaria Especial de Aquicultura e Pesca";560;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"115";"Secretaria Especial de Direitos Humanos";561;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"116";"Secretaria Especial de Políticas para as Mulheres";562;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"117";"Secretaria Geral da Presidência da República";563;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"118";"Secretaria Nacional de Portos";564;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"119";"SFB - Serviço Florestal Brasileiro";572;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"120";"SUDAM - Superintendência do Desenvolvimento da Amazônia";586;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"121";"SUDECO - Superintendência de Desenvolvimento do Centro-Oeste";587;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"122";"SUDENE - Superintendência de Desenvolvimento do Nordeste";588;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"123";"SUFRAMA - Superintendência da Zona Franca de Manaus";589;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"124";"Vice-Presidência da República";658;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"125";"Banco da Amazônia";70;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"126";"Banco do Brasil";71;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"127";"Banco do Nordeste do Brasil";72;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"128";"BNDES – Banco Nacional de Desenvolvimento Econômico e Social";86;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"129";"BNH - Banco Nacional da Habitação";87;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"130";"Caixa Econômica Federal";98;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"131";"CASEMG - Companhia de Armazéns e Silos do Estado de Minas Gerais";109;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"132";"CBTU - Companhia Brasileira de Trens Urbanos";112;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"133";"CDRJ - Companhia Docas do Rio de Janeiro";115;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"134";"CEAGESP – Companhia de Entrepostos e Armazéns Gerais de São Paulo";116;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"135";"CEASA MG - Central Estadual de Abastecimento de Minas Gerais";117;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"136";"CEPEL - Centro de Pesquisas de Energia Elétrica";124;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"137";"CODEVASF - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";145;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"138";"CONAB - Companhia Nacional de Abastecimento";157;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"139";"Correios do Brasil";179;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"140";"CPRM - Serviço Geológico do Brasil";181;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"141";"EBC - Empresa Brasil de Comunicação";203;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"142";"Eletrobrás";212;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"143";"EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária";214;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"144";"EMBRATUR - Instituto Brasileiro de Turismo";215;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"145";"Empresa de Pesquisa Energética";218;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"146";"FINEP - Financiadora de Estudos e Projetos";271;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"147";"Furnas Centrais Elétricas";303;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"148";"Hemobrás - Empresa Brasileira de Hemoderivados e Biotecnologia";321;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"149";"INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária";348;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"150";"Itaipu Binacional";400;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"151";"Petrobrás";517;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"152";"Telebrás";595;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"153";"Trensurb - Empresa de Trens Urbanos de Porto Alegre";600;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"154";"VALEC Engenharia, Construções e Ferrovias";655;"Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB)";"Governo federal não-MRE"
"155";"Estado-Maior Conjunto das Forças Armadas";250;"Forças Armadas";"Governo federal não-MRE"
"156";"Instituto de Pesquisas da Marinha";364;"Forças Armadas";"Governo federal não-MRE"
"157";"ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente";4;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"158";"ABM - Associação Brasileira de Municípios";12;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"159";"AICESIS - International Association of Economic and Social Councils and Similar Institutions";28;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"160";"ANAMMA - Associação Nacional de Órgãos Municipais de Meio Ambiente";36;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"161";"ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior";39;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"162";"Associação Brasileira de Institutos Ambientais";61;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"163";"Autoridade Pública Olímpica";66;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"164";"CNM - Confederação Nacional de Municípios";139;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"165";"CONSED - Conselho Nacional de Secretários de Educação";167;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"166";"Consórcio da Amazônia Legal";174;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"167";"Frente Nacional de Prefeitos";281;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"168";"ICLEI - Local Governments for Sustainability";332;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"169";"INTOSAI - International Organization of Supreme Audit Institutions";391;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"170";"UNALE - União Nacional dos Legisladores e Legislativos Estaduais";605;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"171";"UNDIME - União Nacional dos Dirigentes Municipais de Educação";606;"Associações de órgãos ou entes públicos";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"172";"Distrito Federal";198;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"173";"Estado da Bahia";222;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"174";"Estado da Paraíba";223;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"175";"Estado de Alagoas";224;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"176";"Estado de Goiás";225;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"177";"Estado de Mato Grosso";226;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"178";"Estado de Minas Gerais";227;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"179";"Estado de Pernambuco";228;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"180";"Estado de Rondônia";229;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"181";"Estado de Roraima";230;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"182";"Estado de Santa Catarina";231;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"183";"Estado de São Paulo";232;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"184";"Estado de Tocantins";234;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"185";"Estado do Acre";235;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"186";"Estado do Amapá";236;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"187";"Estado do Amazonas";237;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"188";"Estado do Ceará";238;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"189";"Estado do Espírito Santo";239;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"190";"Estado do Maranhão";240;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"191";"Estado do Mato Grosso";241;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"192";"Estado do Pará";242;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"193";"Estado do Paraná";243;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"194";"Estado do Piauí";244;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"195";"Estado do Rio de Janeiro";245;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"196";"Estado do Rio Grande do Norte";246;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"197";"Estado do Rio Grande do Sul";247;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"198";"Estado do Tocantins";248;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
"199";"Estado não identificado";249;"Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais)";"Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)"
