org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;103;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Casa Civil da Presidência da República;106;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Casa da Moeda do Brasil;107;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CCN;114;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CIMGC - Comissão Interministerial de Mudança Global do Clima;131;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNEN - Comissão Nacional de Energia Nuclear;137;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNPE -  Conselho Nacional de Política Energética;140;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Comissão Nacional Rio+20;150;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Comitê Gestor da Politica Nacional de Gestão Ambiental e Territorial de Terras Indígenas;152;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Comitê Nacional de Organização Rio+20;154;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONANDA - Conselho Nacional dos Direitos da Criança e do Adolescente;159;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONDRAF - Conselho Nacional de Desenvolvimento Rural Sustentável;161;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONJUVE - Conselho Nacional de Juventude;165;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONSEA - Conselho Nacional de Segurança Alimentar e Nutricional;166;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Conselho de Desenvolvimento Econômico e Social;169;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Conselho Nacional de Educação;171;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Controladoria Geral da União;176;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Convênio PNUD/FAO/IBDF/BRA;177;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CVM - Comissão de Valores Mobiliários;189;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DENATRAN - Departamento Nacional de Trânsito;196;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DNIT - Departamento Nacional de Infraestrutura de Transportes;199;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DNOCS - Departamento Nacional de Obras Contra as Secas;200;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DNPM - Departamento Nacional de Produção Mineral;201;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
FBMC - Fórum Brasileiro de Mudanças Climáticas;260;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fiocruz - Fundação Oswaldo Cruz;272;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
FNDE - Fundo Nacional de Desenvolvimento da Educação;276;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
FUNAI - Fundação Nacional do Índio;283;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Funarte - Fundação Nacional de Artes;284;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
FUNASA - Fundação Nacional de Saúde;285;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Funatura - Fundação Pró-Natureza;286;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fundação Biblioteca Nacional;290;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fundação Casa de Rui Barbosa;292;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fundação Cultural Palmares;293;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fundação Joaquim Nabuco;298;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Fundacentro - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho;301;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Gabinete de Segurança Institucional da Presidência;304;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;324;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IBDF - Instituto Brasileiro de Desenvolvimento Florestal;326;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IBGE - Instituto Brasileiro de Geografia e Estatística;327;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IBPC - Instituto Brasileiro do Patrimônio Cultural;328;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IBRAM - Instituto Brasileiro de Museus;329;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INCRA - Instituto Nacional de Colonização e Reforma Agrária;344;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;346;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INMET - Instituto Nacional de Meteorologia;349;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INMETRO - Instituto Nacional de Metrologia, Qualidade e Tecnologia;350;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INPH - Instituto Nacional de Pesquisas Hidroviárias;353;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
INPI - Instituto Nacional da Propriedade Industrial;354;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Instituto Evandro Chagas;371;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IPEA - Instituto de Pesquisa Econômica Aplicada;394;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
IPHAN - Instituto do Patrimônio Histórico e Artístico Nacional;395;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Marinha do Brasil;416;Forças Armadas;Governo federal não-MRE
Ministério da Agricultura, Pecuária e Abastecimento;421;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Ciência e Tecnologia;422;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Cultura;423;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Defesa;424;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Economia;425;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Educação;426;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Fazenda;427;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Integração Nacional;428;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Justiça;429;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Pesca e Aquicultura;430;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Previdência Social;431;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Saúde;432;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério das Cidades;433;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério das Comunicações;434;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério de Minas e Energia;436;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Desenvolvimento Agrário;437;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Desenvolvimento Social e Combate à Fome;438;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Esporte;440;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Interior;441;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Meio Ambiente;442;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Planejamento, Desenvolvimento e Gestão;443;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Planejamento, Orçamento e Gestão;444;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Trabalho e Emprego;445;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério do Turismo;446;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério dos Transportes;447;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério Extraordinário de Política Fundiária;448;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Núcleo de Assuntos Estratégicos da Presidência;500;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Polícia Federal;521;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Presidência da República;523;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
PREVIC - Superintendência Nacional de Previdência Complementar;524;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Representação brasileira para a International Maritime Organization;542;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Assuntos Estratégicos;551;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Aviação Civil;552;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Ciência e Tecnologia da Presidência;553;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Comunicação Social da Presidência;554;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Meio Ambiente da Presidência;555;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Planejamento da Presidência da República;556;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Políticas de Promoção da Igualdade Racial;557;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Relações Institucionais;558;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria do Meio Ambiente da Presidência da República;559;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria Especial de Aquicultura e Pesca;560;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria Especial de Direitos Humanos;561;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria Especial de Políticas para as Mulheres;562;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria Geral da Presidência da República;563;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria Nacional de Portos;564;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
SFB - Serviço Florestal Brasileiro;572;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
SUDAM - Superintendência do Desenvolvimento da Amazônia;586;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
SUDECO - Superintendência de Desenvolvimento do Centro-Oeste;587;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
SUDENE - Superintendência de Desenvolvimento do Nordeste;588;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
SUFRAMA - Superintendência da Zona Franca de Manaus;589;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Vice-Presidência da República;658;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Banco da Amazônia;70;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Banco do Brasil;71;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Banco do Nordeste do Brasil;72;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
BNDES – Banco Nacional de Desenvolvimento Econômico e Social;86;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
BNH - Banco Nacional da Habitação;87;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Caixa Econômica Federal;98;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CASEMG - Companhia de Armazéns e Silos do Estado de Minas Gerais;109;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CBTU - Companhia Brasileira de Trens Urbanos;112;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CDRJ - Companhia Docas do Rio de Janeiro;115;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEAGESP – Companhia de Entrepostos e Armazéns Gerais de São Paulo;116;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEASA MG - Central Estadual de Abastecimento de Minas Gerais;117;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEPEL - Centro de Pesquisas de Energia Elétrica;124;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CODEVASF - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;145;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CONAB - Companhia Nacional de Abastecimento;157;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Correios do Brasil;179;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CPRM - Serviço Geológico do Brasil;181;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
EBC - Empresa Brasil de Comunicação;203;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Eletrobrás;212;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
EMBRATUR - Instituto Brasileiro de Turismo;215;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Empresa de Pesquisa Energética;218;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
FINEP - Financiadora de Estudos e Projetos;271;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Furnas Centrais Elétricas;303;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Hemobrás - Empresa Brasileira de Hemoderivados e Biotecnologia;321;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária;348;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Itaipu Binacional;400;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Petrobrás;517;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Telebrás;595;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Trensurb - Empresa de Trens Urbanos de Porto Alegre;600;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
VALEC Engenharia, Construções e Ferrovias;655;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Estado-Maior Conjunto das Forças Armadas;250;Forças Armadas;Governo federal não-MRE
Instituto de Pesquisas da Marinha;364;Forças Armadas;Governo federal não-MRE
ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;4;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ABM - Associação Brasileira de Municípios;12;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
AICESIS - International Association of Economic and Social Councils and Similar Institutions;28;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ANAMMA - Associação Nacional de Órgãos Municipais de Meio Ambiente;36;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior;39;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Associação Brasileira de Institutos Ambientais;61;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Autoridade Pública Olímpica;66;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
CNM - Confederação Nacional de Municípios;139;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
CONSED - Conselho Nacional de Secretários de Educação;167;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Consórcio da Amazônia Legal;174;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Frente Nacional de Prefeitos;281;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ICLEI - Local Governments for Sustainability;332;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
INTOSAI - International Organization of Supreme Audit Institutions;391;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
UNALE - União Nacional dos Legisladores e Legislativos Estaduais;605;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
UNDIME - União Nacional dos Dirigentes Municipais de Educação;606;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Distrito Federal;198;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado da Bahia;222;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado da Paraíba;223;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Alagoas;224;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Goiás;225;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Mato Grosso;226;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Minas Gerais;227;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Pernambuco;228;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Rondônia;229;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Roraima;230;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Santa Catarina;231;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de São Paulo;232;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Tocantins;234;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Acre;235;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Amapá;236;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Amazonas;237;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Ceará;238;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Espírito Santo;239;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Maranhão;240;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Mato Grosso;241;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Pará;242;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Paraná;243;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Piauí;244;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Rio de Janeiro;245;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Rio Grande do Norte;246;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Rio Grande do Sul;247;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado do Tocantins;248;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado não identificado;249;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
FAPESC;256;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Instituto Águas da Terra;357;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Aracaju;459;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Belém;460;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Belo Horizonte;461;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Boa Vista;462;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Brasileia;463;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Campinas;464;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Cotriguaçu;465;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Curitiba;466;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Cururupu;467;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Fortaleza;468;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Goiânia;469;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Itu;470;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de João Pessoa;471;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Jundiaí;472;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Londrina;473;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
