org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
Associcação Cultural dos Protetores do Rio Crixás de Santa Terezinha;Association of Environmental Protection;2413;Associação Cultural dos Protetores do Rio Crixás de Santa Terezinha;;65
Avaaz;NA;1111;Avaaz;;67
Banco Bradesco;Environment;2240;Banco Bradesco;;68
Banco Bradesco;Social Environmental Responsability, Market Relations;2311;Banco Bradesco;;68
Banco da Amazônia;Strategic and organizational management;1210;Banco da Amazônia;;70
Banco da Amazônia;NA;1252;Banco da Amazônia;;70
Banco do Brasil;NA;539;Banco do Brasil;;71
Banco do Brasil;Sustainable Development Manager;540;Banco do Brasil;;71
Banco do Brasil Foundation;NA;735;Banco do Brasil;Fundação Banco do Brasil;71
Banco do Nordeste do Brasil;Development Management;506;Banco do Nordeste do Brasil;;72
Banco do Nordeste do Brasil;NA;508;Banco do Nordeste do Brasil;;72
Banco do Nordeste do Brasil;Directorship of Administration and of Information Technology;546;Banco do Nordeste do Brasil;;72
Banco Nacional de Desenvolvimento Econômico e Social;NA;1817;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Banco Nacional de Desenvolvimento Econômico e Social;Fundo de Investimentos em Participação;1818;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Banco Nacional de Desenvolvimento Econômico e Social;Environmental;1866;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Banco Nacional de Desenvolvimento Econômico e Social;Amazon Fund;1982;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Banco Nacional de Desenvolvimento Econômico e Social;Environmental Department;2438;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Bank of Amazon;NA;2029;Banco da Amazônia;;70
Bank of Brazil;NA;450;Banco do Brasil;;71
Bank of Brazil;Managing People and Sustainable Development;2220;Banco do Brasil;;71
Bank of Brazil;Sustainable Development;2255;Banco do Brasil;;71
Bank of Brazil;Human Resources and Sustainable Development;2283;Banco do Brasil;;71
Barbosa, Mussnich & Aragao Law Firm;NA;1705;Barbosa, Mussnich & Aragão Advogados;;76
Barros Carvalho Law Firm;NA;1704;Barros Carvalho Advogados;;77
Belgo Siderurgia S.A.;Environment Corporative Manager;1694;Belgo Siderurgia S.A.;;79
Biofílica Environmental Investments;NA;2158;Biofílica Investimentos Ambientais;;80
Biofílica Environmental Investments;Commercial and Financial;2291;Biofílica Investimentos Ambientais;;80
Biofílica Environmental Investments;Forest Conservation and Environment;2310;Biofílica Investimentos Ambientais;;80
Biofílica Environmental Investments;Project Coordinator, REDD+;2431;Biofílica Investimentos Ambientais;;80
BioFinance;NA;1839;Biofinance;;81
Biolfilica;NA;2041;Biofílica Investimentos Ambientais;;80
Biology Advanced Center;NA;2065;Biology Advance Center;;82
Bloomberg Finance and Energy;Latin America;1037;Bloomberg;;83
BM&F BOVESPA Brazilian Mercantile and Futures Exchange;Special Project;2062;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
BMF and Bovespa;NA;2061;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
BMF and Bovespa;Sustainability;2192;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
BMW-Brazil;NA;814;BMW Brasil;;85
BMW-Brazil;Corporate Communications;928;BMW Brasil;;85
BNDES;Department of Environment;1666;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
BNDES;NA;1730;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
BNDES;Environment, Agriculture and Social Inclusion;2273;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
BNDES;Environmental Division;2282;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Bolsa Verde do Rio de Janeiro;NA;2368;BVRio - Bolsa Verde do Rio de Janeiro;;94
Bralizian Court of Audit;Secretariat for Social Communication;618;TCU - Tribunal de Contas da União;;594
Brasil das Aguas;NA;1946;Brasil das Águas;;89
Brasil Ecodiesel;NA;1632;Brasil Ecodiesel;;90
Brasil Foods;NA;2160;BRF - Brasil Foods;;93
Brasil Mata Viva;NA;2114;Brasil Mata Viva;;91
Brasilian Law Bar Association;NA;2096;OAB - Ordem dos Advogados do Brasil;;502
Brasilian Rural Society;NA;2729;SRB - Sociedade Rural Brasileira;;582
Braskem;Institutional Relations and Sustainable Development;985;Braskem;;92
Braskem;NA;2070;Braskem;;92
Braskem;Sustainable Development, Corporate Coordinator;2460;Braskem;;92
Brazil Ecodiesel;NA;1643;Brasil Ecodiesel;;90
Brazil Mata Viva Program;NA;2028;Brasil Mata Viva;;91
Brazilian Academy of Science;NA;669;Academia Brasileira de Ciências;;18
Brazilian Agency for Land Transportation;NA;780;ANTT - Agência Nacional de Transportes Terrestres;;46
Brazilian Agricultural Research Company;Embrapa Environment;149;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Agricultural Research Corporation;NA;718;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Agricultural Research Corporation;Satellite Monitoring;1062;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Agricultural Research Corporation (EMBRAPA);NA;320;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Agricultural Researcher Cooperation;NA;1220;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Agriculture Research Corporation;NA;2148;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Aiports Authority;NA;949;INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária;;348
Brazilian Aiports Authority;Operational Management;972;INFRAERO - Empresa Brasileira de Infraestrutura Aeroportuária;;348
Brazilian Association of Carbon Market Corporations;NA;2104;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;;5
Brazilian Association of Electric Energy Companies (ABCE);NA;2034;ABCE - Associação Brasileira de Companhias de Energia Elétrica;;2
Brazilian Association of Environment Institutes;NA;68;Associação Brasileira de Institutos Ambientais;;61
Brazilian Association of Major Industrial Energy Consumers;NA;1470;ABRACE - Associação Brasileira de Grandes Consumidores Industriais de Energia;;15
Brazilian Association of Municipalities;Mayor of Tanguá;651;ABM - Associação Brasileira de Municípios;;12
Brazilian Association of Municipalities;NA;724;ABM - Associação Brasileira de Municípios;;12
Brazilian Association of Municipalities;Mayor of Moju;845;ABM - Associação Brasileira de Municípios;;12
Brazilian Association of Municipalities;Nova Prata;1242;ABM - Associação Brasileira de Municípios;;12
Brazilian Association of Non-Governamental Organizations;NA;1209;ABONG - Associação Brasileira de Organizações Não-Governamentais;;13
Brazilian Association of Non-Governamental Organizations;Food security;1258;ABONG - Associação Brasileira de Organizações Não-Governamentais;;13
Brazilian Association of Non-Governmental Organizations;NA;862;ABONG - Associação Brasileira de Organizações Não-Governamentais;;13
"Brazilian Association of Producers of Urea Formaldehyde Resin; Brazilian Pulp and Paper Association";NA;2275;BRACELPA - Associação Brasileira de Celulose e Papel;;88
Brazilian Association of the Chemical Industry;Regulatory Affairs and Sustainability;2260;ABIQUIM - Associação Brasileira da Indústria Química;;11
Brazilian Association of the Companies of Carbon Market;NA;2176;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;;5
Brazilian Association of the Lesbians, Gays and Homosexuals;NA;1204;ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos;;6
Brazilian Association of the Lesbians, Gays, Homosexuals;NA;820;ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos;;6
Brazilian Bar Association;NA;1841;OAB - Ordem dos Advogados do Brasil;;502
Brazilian Biodiversity Fund;NA;133;FUNBIO - Fundo Brasileiro para a Biodiversidade;;287
Brazilian Biodiversity Fund;Knowledge Unit Manager;140;FUNBIO - Fundo Brasileiro para a Biodiversidade;;287
Brazilian Biodiversity Fund;Marketing;145;FUNBIO - Fundo Brasileiro para a Biodiversidade;;287
Brazilian Bishops National Confederation;NA;1098;CNBB - Conferência Nacional dos Bispos do Brasil;;136
Brazilian Business Council for Sustainable Development;NA;41;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;Projeto Plantar;1692;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;Grupo Plantar;1696;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;PLANTAR, Carbon Projects Manager;1751;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;VOTORANTIM, Cooperative Manager Partner;1756;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;BAYER, Cooperative Chief of Environment Partner;1761;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;Banco Real;1764;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council for Sustainable Development;Presidency;1943;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Business Council forSustainable Development;NA;1501;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Center for Phisics Research;NA;779;CBPF - Centro Brasileiro de Pesquisas Físicas;;111
Brazilian Communications Company;NA;720;EBC - Empresa Brasil de Comunicação;;203
Brazilian Confederation of Agriculture and Livestock - CNA;NA;2254;CNA - Confederação Nacional da Agricultura e Pecuária;;135
Brazilian Conservation Foundation;NA;244;FBCN - Fundação Brasileira para Conservação da Natureza;;258
Brazilian Corporation for Agricultural Research;NA;1648;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Council of Education Secretaries;NA;1038;CONSED - Conselho Nacional de Secretários de Educação;;167
Brazilian council of Sustainable Construction;NA;767;CBCS - Conselho Brasileiro de Construção Sustentável;;110
Brazilian Council of Sustainable Construction;NA;1008;CBCS - Conselho Brasileiro de Construção Sustentável;;110
Brazilian Council of Sustainable Construction, CBCS;NA;2059;CBCS - Conselho Brasileiro de Construção Sustentável;;110
Brazilian Court of Audit;NA;616;TCU - Tribunal de Contas da União;;594
Brazilian Court of Audit;Brazilian Court of Audit;621;TCU - Tribunal de Contas da União;;594
Brazilian Court of Audit;Aceri;686;TCU - Tribunal de Contas da União;;594
Brazilian Court of Audit;Communications Office;688;TCU - Tribunal de Contas da União;;594
Brazilian Court of Audit;International Affairs Office;1102;TCU - Tribunal de Contas da União;;594
Brazilian Court of Audit (TCU);NA;1213;TCU - Tribunal de Contas da União;;594
Brazilian Development Bank;NA;64;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank;International Affairs and International Commerce;964;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank;Environment;1194;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank;Legal department, Environmental division;2322;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank;Environmental division, Amazon Fund;2362;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank;Environmental division;2397;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank (BNDES);NA;323;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Development Bank (BNDES);Environmental Division;324;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;;86
Brazilian Engineering and Architects Council;Environment;1703;CONFEA - Conselho Federal de Engenharia, Arquitetura e Agronomia;;162
Brazilian Enterprise for Agricultural Research;Environment Monitoring;1460;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Enterprise for Agricultural Research;NA;1602;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;;214
Brazilian Entrepreneurial Business Council for Sustainable Development;NA;1484;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Entrepreneurial Council for Sustainable Development;NA;63;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Entrepreneurial Council for Sustainable Development;Companhia de Gas de Sao Paulo (COMGAS);1478;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Entrepreneurial Council for Sustainable Development;Companhia Vale do Rio Doce;1479;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;;118
Brazilian Environmental Agency;NA;2615;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Environmental Agency;National Center of Prevention and Action Against Forest Fires;2651;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Environmental Agency;Communication Unit, Press;2652;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian External Trade Association;International;910;AEB - Associação de Comércio Exterior do Brasil;;24
Brazilian External Trade Association;NA;912;AEB - Associação de Comércio Exterior do Brasil;;24
Brazilian Federal Senate;Legislative Advisory Board;43;Senado Federal;;568
Brazilian Foreign Ministry;NA;311;Ministério das Relações Exteriores;;435
Brazilian Forest Service;NA;310;SFB - Serviço Florestal Brasileiro;;572
Brazilian Forest Service;Forest Registry and Development;326;SFB - Serviço Florestal Brasileiro;;572
Brazilian Forest Service;Brazilian Forest Service;2602;SFB - Serviço Florestal Brasileiro;;572
Brazilian Forest Service (SFB);NA;321;SFB - Serviço Florestal Brasileiro;;572
Brazilian Forum of Climate Change;NA;1575;FBMC - Fórum Brasileiro de Mudanças Climáticas;;260
Brazilian Forum of NGOs and Social Movements for the Environment and Develpment;NA;42;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;;261
Brazilian Forum on Climate Change;NA;1483;FBMC - Fórum Brasileiro de Mudanças Climáticas;;260
Brazilian Forum on Climate Change;Center of Environmental Resources, State of Bahia;1786;FBMC - Fórum Brasileiro de Mudanças Climáticas;;260
Brazilian Forum on Climate Change;Executive Secretariat;2182;FBMC - Fórum Brasileiro de Mudanças Climáticas;;260
Brazilian Foundation for Sustainable Development;NA;848;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;;259
Brazilian Foundation for SustainableDevelopment;NA;1509;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;;259
Brazilian Health Regulatory Agency;Coordination for International Cooperation, Office for International Affairs;1330;ANVISA - Agência Nacional de Vigilância Sanitária;;48
Brazilian Health Regulatory Agency - ANVISA;International Cooperation;1343;ANVISA - Agência Nacional de Vigilância Sanitária;;48
Brazilian Health Regulatory Agency (ANVISA);Coordination for International Cooperation/Office for International Affairs;1339;ANVISA - Agência Nacional de Vigilância Sanitária;;48
Brazilian Institute for Cultural Heritage;NA;1414;IBPC - Instituto Brasileiro do Patrimônio Cultural;;328
Brazilian Institute for the Environment (IBAMA);NA;1374;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Economic and Social Analysis;NA;668;IBASE - Instituto Brasileiro de Análises Sociais e Econômicas;;325
Brazilian Institute of Environment and Renewable Natural Resources;NA;1332;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Environment and Renewable Natural Resources;Environmental Quality;1333;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Environment and Renewable Natural Resources;Environmental Quality Department;1340;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Environment and Renewable Natural Resources;Coordination of Waste and Emission Controls;1353;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Environment and Renewable Natural Resources;Management of Mercury Trade and Use, Coordination Control of Waste and Emissions, Board of Environmental Quality;1364;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of Forest Development;NA;295;IBDF - Instituto Brasileiro de Desenvolvimento Florestal;;326
Brazilian Institute of Forest Development;Project BRA/82/008;296;IBDF - Instituto Brasileiro de Desenvolvimento Florestal;;326
Brazilian Institute of Forestry Development (IBDF);NA;298;IBDF - Instituto Brasileiro de Desenvolvimento Florestal;;326
Brazilian Institute of Geography and Statistics;NA;342;IBGE - Instituto Brasileiro de Geografia e Estatística;;327
Brazilian Institute of Geography and Statistics;Sustainable Development;1898;IBGE - Instituto Brasileiro de Geografia e Estatística;;327
Brazilian Institute of the Environment;NA;1243;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Institute of the Environment and Renewable Natural Resources;NA;45;IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;;324
Brazilian Inteligence Agency;NA;958;ABIN - Agência Brasileira de Inteligência;;8
Brazilian Intelligence Agency;NA;84;ABIN - Agência Brasileira de Inteligência;;8
Brazilian Law Bar Association;NA;2077;OAB - Ordem dos Advogados do Brasil;;502
Brazilian Mercantile & Futures Exchange;Special Project;1699;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
Brazilian Mercantile & Futures Exchange;NA;1707;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
Brazilian Mercantile & Futures Exchange;Advisory Council;1708;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
Brazilian Mercantile and Futures Exchange;NA;1765;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
Brazilian Mercantile and Futures Exchange;Special Project;1832;BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;;84
Brazilian Nanotechnology National Laboratory;NA;777;LNNano - Laboratório Nacional de Nanotecnologia;;410
Brazilian National Rural Learning Service;NA;2736;SENAR - Serviço Nacional de Aprendizagem Rural;;569
Brazilian Navy;Naval and Aeronautical Attaché in Spain, Embassy of Brazil in Madrid;2674;Marinha do Brasil;;416
Brazilian Panel on Climate Change;NA;2287;PBMC - Painel Brasileiro de Mudanças Climáticas;;513
Brazilian Postal Service;NA;869;Correios do Brasil;;179
Brazilian Postal Service;Rio de Janeiro Region;980;Correios do Brasil;;179
Brazilian Pulp and Paper Association;NA;1933;BRACELPA - Associação Brasileira de Celulose e Papel;;88
Brazilian Pulp and Paper Association;Presidency;2049;BRACELPA - Associação Brasileira de Celulose e Papel;;88
Brazilian Pulp and Paper Association;International Affairs;2050;BRACELPA - Associação Brasileira de Celulose e Papel;;88
Brazilian Pulp and Paper Association - Bracelpa;NA;1879;BRACELPA - Associação Brasileira de Celulose e Papel;;88
Brazilian Representation to the International Maritime Organization;NA;1919;Representação brasileira para a International Maritime Organization;;542
Brazilian Society for Science Development (SBPC);Universidade de Sao Paulo;1469;SBPC - Sociedade Brasileira para o Progresso da Ciência;;548
Brazilian Society for Science Progress;NA;1208;SBPC - Sociedade Brasileira para o Progresso da Ciência;;548
Brazilian Society for the Science Progress;NA;490;SBPC - Sociedade Brasileira para o Progresso da Ciência;;548
Brazilian Society of Ecological Economy;NA;2094;Sociedade Brasileira de Economia Ecológica;;577
Brazilian Society of Environment International Law;NA;1467;Sociedade Brasileira de Direito Internacional do Meio Ambiente;;576
Brazilian Space Agency;NA;1416;AEB - Agência Espacial Brasileira;;23
Brazilian Steel Institute;NA;1820;Instituto Aço Brasil;;356
Brazilian Steel Institute;Brazil Steel;1958;Instituto Aço Brasil;;356
Brazilian Sustainable Development Foundation;NA;1491;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;;259
Brazilian Tourism Institute;NA;785;EMBRATUR - Instituto Brasileiro de Turismo;;215
Brazilian Tourism Institute;International Markets;1007;EMBRATUR - Instituto Brasileiro de Turismo;;215
Brazilian Tourism Institute;Marketing;1247;EMBRATUR - Instituto Brasileiro de Turismo;;215
Brazilian Trade and Investment Promotion Agency;NA;1064;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;;49
Brazilian Trade and Investment Promotion Agency;Sustainability;1073;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;;49
Brazilian Trade and Investment Promotion Agency;Corporate Management;2579;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;;49
Brazilian Trade and Investment Promotion Agency;International Business;2580;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;;49
Brazilian Trade and Investment Promotion Agency;Communication;2581;APEX - Agência Brasileira de Promoção de Exportações e Investimentos;;49
Brazilian Union of middle and High School Students;NA;979;UBES - União Brasileira dos Estudantes Secundaristas;;603
Brazilian Urban Train Company;NA;797;CBTU - Companhia Brasileira de Trens Urbanos;;112
Brazilian Women Association;NA;807;AMB - Articulação de Mulheres Brasileiras;;31
