org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
Ação Educativa;19;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ACRIMAT - Associação dos Criadores de Mato Grosso;20;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ActionAid;21;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Açucareira Vale do Rosário;22;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
AEB - Agência Espacial Brasileira;23;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
AEB - Associação de Comércio Exterior do Brasil;24;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
AES Tietê;25;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Afroreggae;26;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
AGU - Advocacia Geral da União;27;Judiciário, AGU, MP e respectivas associações de classe;Outro
AICESIS - International Association of Economic and Social Councils and Similar Institutions;28;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
AIMEX - Associação das Indústrias Exportadoras de Madeiras do Estado do Pará;29;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Aluno do sistema municipal de educação;30;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
AMB - Articulação de Mulheres Brasileiras;31;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Ambiente Gestão em Sustentabilidade Ltda;32;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Amigos da Terra;33;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ANA - Agência Nacional de Águas;34;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANAC - Agência Nacional de Aviação Civil;35;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANAMMA - Associação Nacional de Órgãos Municipais de Meio Ambiente;36;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ANATEL - Agência Nacional de Telecomunicações;37;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANCINE - Agência Nacional do Cinema;38;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior;39;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ANEEL - Agência Nacional de Energia Elétrica;40;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Anima Convivência Produtiva;41;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ANP - Agência Nacional do Petróleo;42;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANPR - Associação Nacional dos Procuradores da República;43;Judiciário, AGU, MP e respectivas associações de classe;Outro
ANS - Agência Nacional de Saúde Suplementar;44;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANTAQ - Agência Nacional de Transportes Aquaviários;45;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANTT - Agência Nacional de Transportes Terrestres;46;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANUT - Asociación Nacional de Universidades Tecnológicas;47;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
ANVISA - Agência Nacional de Vigilância Sanitária;48;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
APEX - Agência Brasileira de Promoção de Exportações e Investimentos;49;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
APIB - Articulação dos Povos Indígenas do Brasil;50;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
APREC - Associação de Proteção a Ecossistemas Costeiros;51;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
APROSOJA/MT - Associação de Produtores de Soja de Mato Grosso;52;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Aracruz Celulose S.A.;53;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ArborGen;54;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Arcelor Mittal;55;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Archipelago Engenharia Ambiental;56;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
ARPIPAN - Articulação dos Povos Indígenas do Pantanal;57;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Arquiteto;58;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
Assessoria de Imprensa;59;Jornalistas, assessores de imprensa, jornais ou revistas;Outro
Assessoria Especial da Presidência da República;60;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Associação Brasileira de Institutos Ambientais;61;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Associação Comercial de Minas Gerais;62;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Associação Latino-americana de ONGs;63;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Associação Nacional de Membros do Ministério Público;64;Judiciário, AGU, MP e respectivas associações de classe;Outro
Associação Cultural dos Protetores do Rio Crixás de Santa Terezinha;65;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Autoridade Pública Olímpica;66;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Avaaz;67;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Banco Bradesco;68;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Banco Central do Brasil;69;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Banco da Amazônia;70;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Banco do Brasil;71;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Banco do Nordeste do Brasil;72;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Banco Itaú;73;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Banco Mundial;74;Organismos internacionais;Outro
Banco Santander;75;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Barbosa, Mussnich & Aragão Advogados;76;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
Barros Carvalho Advogados;77;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
BCSE - Business Council for Sustainable Energy;78;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Belgo Siderurgia S.A.;79;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Biofílica Investimentos Ambientais;80;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Biofinance;81;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Biology Advance Center;82;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Bloomberg;83;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
BM&F BOVESPA - Bolsa de Valores, Mercadorias e Futuros;84;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
BMW Brasil;85;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
BNDES - Banco Nacional de Desenvolvimento Econômico e Social;86;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
BNH - Banco Nacional da Habitação;87;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
BRACELPA - Associação Brasileira de Celulose e Papel;88;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Brasil das Águas;89;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Brasil Ecodiesel;90;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Brasil Mata Viva;91;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Braskem;92;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
BRF - Brasil Foods;93;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
BVRio - Bolsa Verde do Rio de Janeiro;94;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
C.M. Consult Ltda;95;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CAATINGA - Centro de Assessoria e Apoio a Trabalhadores/as e Instituições Não Governamentais Alternativas;96;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CADE - Conselho Administrativo de Defesa Econômica;97;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Caixa Econômica Federal;98;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Câmara de Comércio e Indústria Japonesa do Brasil;99;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Câmara do Comércio e Indústria Brasil-Japão do Paraná;100;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Câmara dos Deputados;101;Legislativo federal;Legislativo federal
Camargo Corrêa;102;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;103;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Carbono Social Serviços Ambientais;104;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Care International;105;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Casa Civil da Presidência da República;106;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Casa da Moeda do Brasil;107;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Case New Holland Latin America;108;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CASEMG - Companhia de Armazéns e Silos do Estado de Minas Gerais;109;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CBCS - Conselho Brasileiro de Construção Sustentável;110;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
CBPF - Centro Brasileiro de Pesquisas Físicas;111;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
CBTU - Companhia Brasileira de Trens Urbanos;112;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CCI - Câmara de Comércio Internacional;113;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
CCN;114;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CDRJ - Companhia Docas do Rio de Janeiro;115;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEAGESP - Companhia de Entrepostos e Armazéns Gerais de São Paulo;116;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEASA MG - Central Estadual de Abastecimento de Minas Gerais;117;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;118;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
CEBRAP - Centro Brasileiro de Análise e Planejamento;119;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
CEMPRE - Compromisso Empresarial para Reciclagem;120;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Centro Clima;121;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Centro Universitário de Brasília;122;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Centro Universitário Luterano de Palmas;123;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
CEPEL - Centro de Pesquisas de Energia Elétrica;124;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CETEM - Centro de Tecnologia Mineral;125;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
CETENE - Centro de Tecnologias Estratégicas do Nordeste;126;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
CFMV - Conselho Federal de Medicina Veterinária;127;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
CGEE - Centro de Gestão e Estudos Estratégicos;128;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
CGTB - Central Geral dos Trabalhadores do Brasil;129;Sindicato e Confederação e Federação Sindical;Sociedade civil, sindicatos, movimentos sociais
CIFOR - Centro Internacional de Investigação Florestal;130;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CIMGC - Comissão Interministerial de Mudança Global do Clima;131;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Climate Link Limited;132;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CMB - Confederação das Mulheres do Brasil;133;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CMP - Central de Movimentos Populares;134;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CNA - Confederação Nacional da Agricultura e Pecuária;135;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CNBB - Conferência Nacional dos Bispos do Brasil;136;Igrejas e entidades religiosas;Outro
CNEN - Comissão Nacional de Energia Nuclear;137;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNI - Confederação Nacional da Indústria;138;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CNM - Confederação Nacional de Municípios;139;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
CNPE -  Conselho Nacional de Política Energética;140;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNPEM - Centro Nacional de Pesquisa em Energia e Materiais;141;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CO2e.com;143;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Coca-Cola;144;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CODEVASF - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;145;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
COIAB - Coordenação das Organizações Indígenas da Amazônia Brasileira;146;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Colégio Anglo;147;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Colégio Cruzeiro;148;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Comam-Cominicao Ambiental;149;Ainda não identificado;Não identificado
Comissão Nacional Rio+20;150;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Comitê Facilitador da Sociedade Civil;151;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Comitê Gestor da Politica Nacional de Gestão Ambiental e Territorial de Terras Indígenas;152;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Comitê Intertribal;153;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Comitê Nacional de Organização Rio+20;154;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Companhia Vale do Rio Doce;155;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Comunidade indígena;156;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CONAB - Companhia Nacional de Abastecimento;157;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CONAM - Confederação Nacional das Associações de Moradores;158;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CONANDA - Conselho Nacional dos Direitos da Criança e do Adolescente;159;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONAQ - Coordenação Nacional de Articulação de Quilombos;160;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CONDRAF - Conselho Nacional de Desenvolvimento Rural Sustentável;161;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONFEA - Conselho Federal de Engenharia, Arquitetura e Agronomia;162;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
Confederation of International Industries;163;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Congresso Nacional;164;Legislativo federal;Legislativo federal
CONJUVE - Conselho Nacional de Juventude;165;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONSEA - Conselho Nacional de Segurança Alimentar e Nutricional;166;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONSED - Conselho Nacional de Secretários de Educação;167;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Conselho Consultivo Superior das Entidades Empresariais;168;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Conselho de Desenvolvimento Econômico e Social;169;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Conselho Latino-Americano de Igrejas - Brasil;170;Igrejas e entidades religiosas;Outro
Conselho Nacional de Educação;171;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Conselho Nacional dos Seringueiros;172;Sindicato e Confederação e Federação Sindical;Sociedade civil, sindicatos, movimentos sociais
Conservation International;173;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Consórcio da Amazônia Legal;174;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;175;Sindicato e Confederação e Federação Sindical;Sociedade civil, sindicatos, movimentos sociais
Controladoria Geral da União;176;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Convênio PNUD/FAO/IBDF/BRA;177;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Copersucar;178;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Correios do Brasil;179;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CPFL Energia;180;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CPRM - Serviço Geológico do Brasil;181;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
CREA-MG;182;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
CTB - Central dos Trabalhadores e Trabalhadoras do Brasil;183;Sindicato e Confederação e Federação Sindical;Sociedade civil, sindicatos, movimentos sociais
CTC - Centro de Tecnologia Canavieira;184;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CTI - Centro de Tecnologia da Informação;185;Laboratórios, centros e institutos de pesquisa vinculados ao MCT;Órgãos de ensino e pesquisa
C-trade Carbon Market Trading;186;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CUFA - Central Única das Favelas;187;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CUT - Central Única dos Trabalhadores;188;Sindicato e Confederação e Federação Sindical;Sociedade civil, sindicatos, movimentos sociais
CVM - Comissão de Valores Mobiliários;189;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Damenanni Advogados;190;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
De Rosa, Siqueira, Almeida, Barros Barreto e Advogados Associados;191;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
De Rosa, Siqueira, Almeida, Mello, Barros Barreto e Advogados Associados;192;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
Defensores da Terra;193;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Defensoria da Água;194;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Defensoria Pública da União;195;Judiciário, AGU, MP e respectivas associações de classe;Outro
DENATRAN - Departamento Nacional de Trânsito;196;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Destilaria Sérgio Pataro;197;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Distrito Federal;198;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
DNIT - Departamento Nacional de Infraestrutura de Transportes;199;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DNOCS - Departamento Nacional de Obras Contra as Secas;200;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
DNPM - Departamento Nacional de Produção Mineral;201;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Earth3000;202;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
EBC - Empresa Brasil de Comunicação;203;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
EcoEnergy Brasil;204;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Ecofrotas;205;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Ecoinvest;206;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
EcoMapuá Conservação Ltda.;207;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
EcoSecurities;208;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Editora Abril;209;Jornalistas, assessores de imprensa, jornais ou revistas;Outro
EDP - Energias do Brasil S.A.;210;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
EDP - Energias do Brasil S.A.;210;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Eletrobrás;212;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Embraer;213;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
EMBRATUR - Instituto Brasileiro de Turismo;215;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Emerenciano, Baggio e Advogados Associados;216;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
Empresa;217;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Empresa de Pesquisa Energética;218;Empresas públicas, estatais, bancos federais e sociedades de economia mista (inclusive BNDES e BB);Governo federal não-MRE
Enerbio Consulting;219;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Engajamundo;220;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ERM Consulting Services;221;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Estado da Bahia;222;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado da Paraíba;223;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Alagoas;224;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Goiás;225;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Mato Grosso;226;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Minas Gerais;227;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Pernambuco;228;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Rondônia;229;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Roraima;230;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Santa Catarina;231;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
