"";"section_h1";"section_h2";"report_id";"sentence";"sent_order";"interaction";"sender";"target";"title";"event";"event_name";"conf_startdate";"conf_enddate";"negotiation_date";"row_id"
"18";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";530;"The US, supported by CANADA, called for a decision on the rules of procedure.CANADA and TRINIDAD AND TOBAGO on behalf of AOSIS stated that Article 17.2(six month rule) should not hinder the new legal instrument.";17838;"support";"CANADA";"US";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;18
"19";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";530;"The US, supported by CANADA, called for a decision on the rules of procedure.CANADA and TRINIDAD AND TOBAGO on behalf of AOSIS stated that Article 17.2(six month rule) should not hinder the new legal instrument.";17838;"support";"TRINIDAD AND TOBAGO";"US";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;19
"20";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";530;"The US, supported by CANADA, called for a decision on the rules of procedure.CANADA and TRINIDAD AND TOBAGO on behalf of AOSIS stated that Article 17.2(six month rule) should not hinder the new legal instrument.";17838;"agreement";"TRINIDAD AND TOBAGO";"CANADA";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;20
"21";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";530;"The US, supported by CANADA, called for a decision on the rules of procedure.CANADA and TRINIDAD AND TOBAGO on behalf of AOSIS stated that Article 17.2(six month rule) should not hinder the new legal instrument.";17838;"agreement";"CANADA";"TRINIDAD AND TOBAGO";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;21
"22";"SUBSIDIARY BODY FOR IMPLEMENTATION
";"First subsection";529;"The EU, supported by the US, suggested the Secretariat focus on voluntary private sectortechnology transfer and on enabling conditions for its transfer.";17748;"support";"US";"EU";"Report of main proceedings for 12 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-12;22
"23";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";528;"SWITZERLAND, supported by MALI, called for a dynamic approach and proposed threecategories of commitment.";17730;"support";"MALI";"SWITZERLAND";"Report of main proceedings for 15 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-15;23
"24";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";528;"AOSIS, supported by the PHILIPPINES and the MALDIVES, said theSAR is sufficient to allow agreement on QELROs.";17733;"support";"PHILIPPINES";"AOSIS";"Report of main proceedings for 15 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-15;24
"25";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";528;"AOSIS, supported by the PHILIPPINES and the MALDIVES, said theSAR is sufficient to allow agreement on QELROs.";17733;"support";"MALDIVES";"AOSIS";"Report of main proceedings for 15 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-15;25
"26";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";528;"AOSIS, supported by the PHILIPPINES and the MALDIVES, said theSAR is sufficient to allow agreement on QELROs.";17733;"agreement";"MALDIVES";"PHILIPPINES";"Report of main proceedings for 15 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-15;26
"27";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";528;"AOSIS, supported by the PHILIPPINES and the MALDIVES, said theSAR is sufficient to allow agreement on QELROs.";17733;"agreement";"PHILIPPINES";"MALDIVES";"Report of main proceedings for 15 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-15;27
"28";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"In a paragraph on elaboration of policiesand measures the US, supported by AUSTRALIA, objected to the inclusion of a menuapproach.";17654;"support";"AUSTRALIA";"US";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;28
"29";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"support";"SAUDI ARABIA";"CHINA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;29
"30";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"support";"KUWAIT";"CHINA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;30
"31";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"support";"VENEZUELA";"CHINA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;31
"32";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"support";"COLOMBIA";"CHINA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;32
"33";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"The NETHERLANDS added market-based differentiation mechanisms.In a paragraph concerning the impact of Annex I commitments on developing countries,SAUDI ARABIA, supported by KUWAIT, added references to burden sharing for allParties and relevant studies.";17669;"support";"KUWAIT";"SAUDI ARABIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;33
"34";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"KUWAIT";"SAUDI ARABIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;34
"35";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"VENEZUELA";"SAUDI ARABIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;35
"36";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"COLOMBIA";"SAUDI ARABIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;36
"37";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"SAUDI ARABIA";"KUWAIT";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;37
"38";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"VENEZUELA";"KUWAIT";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;38
"39";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"COLOMBIA";"KUWAIT";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;39
"40";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"SAUDI ARABIA";"VENEZUELA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;40
"41";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"KUWAIT";"VENEZUELA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;41
"42";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"COLOMBIA";"VENEZUELA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;42
"43";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"SAUDI ARABIA";"COLOMBIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;43
"44";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"KUWAIT";"COLOMBIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;44
"45";"AD HOC GROUP ON THE BERLIN MANDATE
";"First subsection";527;"After CHINA, supported by SAUDI ARABIA,KUWAIT, VENEZUELA and COLOMBIA, objected to joint implementation andtradable emission permits in a paragraph on mechanisms to promote flexibility, the USinserted an additional reference to specify Annex I Parties.";17667;"agreement";"VENEZUELA";"COLOMBIA";"Report of main proceedings for 16 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-16;45
"46";"OPENING SESSION
";"First subsection";522;"The G-77/CHINA, supported by the EU, MALAYSIA andthe AFRICAN GROUP urged for a limited number of additional groups, given theconstraints facing small delegations.";17574;"support";"EU";"G-77/CHINA";"Report of main proceedings for 3 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-03;46
"47";"ROUND TABLE ON NEW PROPOSALS FROM PARTIES
";"First subsection";522;"SAUDI ARABIA, supported by IRAN, noted Article4.8, stating that funding action be considered in regard to the specific needs ofdeveloping countries.";17608;"support";"IRAN";"SAUDI ARABIA";"Report of main proceedings for 3 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-03;47
"48";"POLICIES AND MEASURES
";"First subsection";521;"The EU, supported by SWITZERLAND, favored legally binding P&Ms and highlightedhis proposed Annexes A (common P&Ms), B (coordinated P&Ms that receive highpriority) and C (priority P&Ms for inclusion in national programmes).";17539;"support";"SWITZERLAND";"EU";"Report of main proceedings for 4 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-04;48
"49";"OPENING PLENARY
";"First subsection";518;"The EU, supported by SWITZERLAND, favored legally-binding P&Ms and highlighted its proposed Annex A (commonP&Ms), Annex B (coordinated P&Ms that receive high priority) and Annex C (priority P&Ms for inclusion in nationalprogrammes).";17142;"support";"SWITZERLAND";"EU";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;49
"50";"QUANTIFIED EMISSIONS LIMITATION AND REDUCTION OBJECTIVES
";"First subsection";518;"HUNGARY supported the US’s long-term goal for reduction ofatmospheric greenhouse gas concentrations.";17194;"support";"HUNGARY";"US";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;50
"51";"QUANTIFIED EMISSIONS LIMITATION AND REDUCTION OBJECTIVES
";"First subsection";518;"On the issue of """"flexibility,"""" MALAYSIA, supported by CHINA, requested deletion of the entire section.";17226;"support";"CHINA";"MALAYSIA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;51
"52";"POLICIES AND MEASURES
";"First subsection";518;"The EU, supported by SWITZERLAND, favored legally-binding P&Ms and highlighted its proposed Annex A (commonP&Ms), Annex B (coordinated P&Ms that receive high priority) and Annex C (priority P&Ms for inclusion in nationalprogrammes).";17246;"support";"SWITZERLAND";"EU";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;52
"53";"QUANTIFIED EMISSIONS LIMITATION AND REDUCTION OBJECTIVES
";"First subsection";518;"HUNGARY supported the US’s long-term goal for reduction ofatmospheric greenhouse gas concentrations.";17298;"support";"HUNGARY";"US";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;53
"54";"QUANTIFIED EMISSIONS LIMITATION AND REDUCTION OBJECTIVES
";"First subsection";518;"On the issue of """"flexibility,"""" MALAYSIA, supported by CHINA, requested deletion of the entire section.";17330;"support";"CHINA";"MALAYSIA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;54
"55";"ROUNDTABLES
";"First subsection";518;"VENEZUELA, supported by COSTA RICA, suggested """"historical responsibility"""" as anadditional criterion for differentiation.";17356;"support";"COSTA RICA";"VENEZUELA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;55
"56";"ROUNDTABLES
";"First subsection";518;"SAUDI ARABIA, supported by IRAN, noted Article 4.8, stating thatfunding action be considered in regard to the specific needs of developing countries.";17376;"support";"IRAN";"SAUDI ARABIA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;56
"57";"ROUNDTABLE ON NEW PROPOSALS FROM PARTIES
";"First subsection";518;"VENEZUELA, supported by COSTA RICA, suggested """"historical responsibility"""" as anadditional criterion for differentiation.";17401;"support";"COSTA RICA";"VENEZUELA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;57
"58";"ROUNDTABLE ON NEW PROPOSALS FROM PARTIES
";"First subsection";518;"SAUDI ARABIA, supported by IRAN, noted Article 4.8, stating thatfunding action be considered in regard to the specific needs of developing countries.";17421;"support";"IRAN";"SAUDI ARABIA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;58
"59";"CLOSING PLENARY
";"First subsection";518;"CHINA, supported by HUNGARY, also requested that any text submitted after the deadline shouldbe included in the addendum of the new text.";17450;"support";"HUNGARY";"CHINA";"Report of main proceedings for 3–7 March 1997";"6th Session of the Ad Hoc Group on the Berlin Mandate";"6th Session of the Ad Hoc Group on the Berlin Mandate";1997-03-03;1997-03-07;1997-03-07;59
"60";"SUBSIDIARY BODY ON IMPLEMENTATION
";"First subsection";517;"SAUDI ARABIA, supported by KUWAIT, sought deletion of Agenda Item 9 on matters arising from UNGASS.";17104;"support";"KUWAIT";"SAUDI ARABIA";"Report of main proceedings for 28 July 1997";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";1997-07-28;1997-08-05;1997-07-28;60
"61";"SUBSIDIARY BODY ON IMPLEMENTATION
";"First subsection";516;"TANZANIA, for the G-77/CHINA, supported by AUSTRALIA and CUBA, said the discussion of Annex I and non-Annex I communications should be based on differentiation.";17042;"support";"AUSTRALIA";"G-77/CHINA";"Report of main proceedings for 29 July 1997";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";1997-07-28;1997-08-05;1997-07-29;61
"62";"SUBSIDIARY BODY ON IMPLEMENTATION
";"First subsection";516;"TANZANIA, for the G-77/CHINA, supported by AUSTRALIA and CUBA, said the discussion of Annex I and non-Annex I communications should be based on differentiation.";17042;"support";"CUBA";"G-77/CHINA";"Report of main proceedings for 29 July 1997";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";1997-07-28;1997-08-05;1997-07-29;62
"63";"SUBSIDIARY BODY ON IMPLEMENTATION
";"First subsection";516;"On arrangements for COP-3, the G-77/CHINA, supported by NIGERIA, VENEZUELA, SAUDI ARABIA, KUWAIT, CHINA, MALI, IRAN, KOREA, CENTRAL AFRICAN REPUBLIC, COLOMBIA and INDIA said the proposed ministerial segment must include all heads of delegations and their advisors, not just ministers.";17056;"support";"NIGERIA";"G-77/CHINA";"Report of main proceedings for 29 July 1997";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";1997-07-28;1997-08-05;1997-07-29;63
"64";"SUBSIDIARY BODY ON IMPLEMENTATION
";"First subsection";516;"On arrangements for COP-3, the G-77/CHINA, supported by NIGERIA, VENEZUELA, SAUDI ARABIA, KUWAIT, CHINA, MALI, IRAN, KOREA, CENTRAL AFRICAN REPUBLIC, COLOMBIA and INDIA said the proposed ministerial segment must include all heads of delegations and their advisors, not just ministers.";17056;"support";"VENEZUELA";"G-77/CHINA";"Report of main proceedings for 29 July 1997";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";"6th Session of the UNFCCC Subsidiary Bodies (SB 6)";1997-07-28;1997-08-05;1997-07-29;64
